Select all keywords,Keyword,Intent,Related %,Volume,Trend,Pot. Traffic,PKD %,KD %,CPC (USD),Com.,SF,Results,Updated
ai crypto,ai crypto​,I,0,1.9K,,n/a,n/a,88,1.54,0.43,6,1.1B,Last week
ai crypto coins,ai crypto coins​,IC,0,1.6K,,n/a,n/a,37,0.73,0.62,4,n/a,1 month
dawgz ai coin price,dawgz ai coin price​,I,0,1.6K,,n/a,n/a,32,0.00,0.02,4,95,1 month
ai tokens,ai tokens​,I,0,1.3K,,n/a,n/a,40,1.47,0.05,7,584M,1 month
dawgz ai coin,dawgz ai coin​,T,0,1.3K,,n/a,n/a,53,6.82,0.13,4,51.1K,1 month
ai and crypto,ai and crypto​,I,0,1.0K,,n/a,n/a,70,1.54,0.43,6,882,1 month
aicoin,aicoin​,NT,0,1.0K,,n/a,n/a,32,3.33,0.00,4,442K,1 month
ai coins,ai coins​,I,0,880,,n/a,n/a,71,0.73,0.37,3,917,2 weeks
lightchain ai coin,lightchain ai coin​,I,0,880,,n/a,n/a,49,12.61,0.03,4,108,2 weeks
ai token,ai token​,I,0,720,,n/a,n/a,48,1.47,0.05,6,604M,1 month
ai-powered altcoin propichain,ai-powered altcoin propichain​,IC,0,720,,n/a,n/a,7,0.00,0.00,3,n/a,1 month
ai agents crypto,ai agents crypto​,I,0,590,,n/a,n/a,47,0.73,0.40,4,n/a,1 month
ai coin,ai coin​,I,0,590,,n/a,n/a,64,0.73,0.37,3,140,1 month
best ai crypto,best ai crypto​,C,0,590,,n/a,n/a,41,0.73,0.50,4,629M,1 month
crypto ai,crypto ai​,I,0,590,,n/a,n/a,85,2.71,0.24,5,1.3K,1 month
top ai crypto projects to invest in,top ai crypto projects to invest in​,I,0,590,,n/a,n/a,66,0.00,0.00,6,166M,Last week
dawgz ai coin price prediction,dawgz ai coin price prediction​,I,0,480,,n/a,n/a,23,0.00,0.00,5,10.7K,1 month
trump ai coin,trump ai coin​,I,0,480,,n/a,n/a,19,0.00,0.00,2,35.5M,1 month
undress ai apk unlimited coins,undress ai apk unlimited coins​,I,0,480,,n/a,n/a,9,0.00,0.00,0,50,4 weeks
ai agent crypto,ai agent crypto​,I,0,390,,n/a,n/a,40,0.73,0.40,3,n/a,1 month
