Select all keywords,Keyword,Intent,Related %,Volume,Trend,Pot. Traffic,PKD %,KD %,CPC (USD),Com.,SERP Features,Results,Updated
babe ruth baseball card,babe ruth baseball card​,C,0,"5,400",,n/a,n/a,10,0.26,0.92,+3,2.6M,2 weeks
austin martin baseball card,austin martin baseball card​,IT,0,"3,600",,n/a,n/a,8,0.00,0.00,,171,2 weeks
hank aaron baseball card,hank aaron baseball card​,C,0,"2,400",,n/a,n/a,7,0.16,0.91,+3,1.7M,2 weeks
barry bonds baseball card,barry bonds baseball card​,C,0,"1,900",,n/a,n/a,10,0.27,0.96,,1.6M,2 weeks
baseball card dimensions,baseball card dimensions​,I,0,"1,600",,n/a,n/a,2,0.00,0.02,,124,2 weeks
baseball card size,baseball card size​,I,0,"1,600",,n/a,n/a,6,0.00,0.02,,206M,1 month
deion sanders baseball card,deion sanders baseball card​,T,0,"1,600",,n/a,n/a,9,0.25,0.52,,198,1 month
baseball card game,baseball card game​,IC,0,"1,300",,n/a,n/a,6,0.53,0.89,+3,331M,3 weeks
ichiro baseball card,ichiro baseball card​,C,0,"1,300",,n/a,n/a,10,0.30,0.27,,920K,1 month
ryne sandberg baseball card,ryne sandberg baseball card​,IT,0,"1,300",,n/a,n/a,7,0.19,0.63,,377K,1 month
andy van slyke baseball card,andy van slyke baseball card​,C,0,"1,000",,n/a,n/a,9,0.10,0.03,,n/a,1 month
carlton fisk baseball card,carlton fisk baseball card​,IT,0,"1,000",,n/a,n/a,8,0.13,0.22,+2,n/a,1 month
derek jeter baseball card,derek jeter baseball card​,IT,0,"1,000",,n/a,n/a,9,1.09,1.00,,1.4M,1 month
ernie banks baseball card,ernie banks baseball card​,C,0,"1,000",,n/a,n/a,8,0.17,0.84,,737K,2 weeks
gary carter baseball card,gary carter baseball card​,T,0,"1,000",,n/a,n/a,9,0.11,0.10,,3.8M,1 month
george brett baseball card,george brett baseball card​,IC,0,"1,000",,n/a,n/a,6,0.19,0.46,+2,226,1 month
jose canseco baseball card,jose canseco baseball card​,IC,0,"1,000",,n/a,n/a,8,0.19,0.68,+2,505K,1 month
pete rose baseball card value,pete rose baseball card value​,I,0,"1,000",,n/a,n/a,6,0.27,0.36,+3,n/a,1 month
pete rose topps baseball card,pete rose topps baseball card​,T,0,"1,000",,n/a,n/a,8,0.27,0.24,+2,239,1 month
sammy sosa baseball card,sammy sosa baseball card​,IC,0,"1,000",,n/a,n/a,10,0.12,0.81,,193,2 weeks
sandy koufax baseball card,sandy koufax baseball card​,IC,0,"1,000",,n/a,n/a,8,0.18,1.00,+2,201,1 month
yogi berra baseball card,yogi berra baseball card​,IC,0,"1,000",,n/a,n/a,6,0.13,0.85,+2,460K,1 month
babe ruth baseball card value,babe ruth baseball card value​,IT,0,880,,n/a,n/a,6,0.23,0.25,+2,1M,1 month
babe ruth signed baseball card,babe ruth signed baseball card​,IT,0,880,,n/a,n/a,7,0.41,0.75,+3,2.4M,2 weeks
baseball card reggie jackson,baseball card reggie jackson​,IT,0,880,,n/a,n/a,9,0.29,0.40,+2,1.4M,3 weeks
darryl strawberry baseball card,darryl strawberry baseball card​,IT,0,880,,n/a,n/a,7,0.14,0.64,,400K,1 month
dave righetti baseball card value,dave righetti baseball card value​,IC,0,880,,n/a,n/a,5,0.00,0.00,,61.6K,4 weeks
don mattingly all star baseball card,don mattingly all star baseball card​,IC,0,880,,n/a,n/a,10,0.00,0.04,+2,214,1 month
joe dimaggio baseball card,joe dimaggio baseball card​,C,0,880,,n/a,n/a,6,0.16,0.99,,224,1 month
nolan ryan baseball card mother's cookies,nolan ryan baseball card mother's cookies​,IT,0,880,,n/a,n/a,10,0.05,0.06,,n/a,1 month
pete rose baseball card worth,pete rose baseball card worth​,IT,0,880,,n/a,n/a,5,0.27,0.36,+3,10.7M,1 month
1992 babe ruth baseball card value,1992 babe ruth baseball card value​,IT,0,720,,n/a,n/a,10,0.00,0.01,,198,1 month
andre dawson baseball card,andre dawson baseball card​,IC,0,720,,n/a,n/a,6,0.10,0.18,,876K,1 month
babe ruth baseball card cost,babe ruth baseball card cost​,IT,0,720,,n/a,n/a,8,0.23,0.25,,1.3M,1 month
danny ainge baseball card,danny ainge baseball card​,IC,0,720,,n/a,n/a,8,0.14,0.10,,209,Last week
graded baseball card,graded baseball card​,C,0,720,,n/a,n/a,3,0.59,0.76,,9.9M,1 month
jim palmer baseball card,jim palmer baseball card​,IC,0,720,,n/a,n/a,8,0.08,0.18,,n/a,1 month
john smoltz baseball card,john smoltz baseball card​,IC,0,720,,n/a,n/a,8,0.27,0.27,,192,1 month
kerry wood baseball card,kerry wood baseball card​,T,0,720,,n/a,n/a,6,0.00,0.01,,1.4M,3 weeks
kirby puckett baseball card,kirby puckett baseball card​,C,0,720,,n/a,n/a,6,0.20,0.92,,341K,2 weeks
nolan ryan gold baseball card,nolan ryan gold baseball card​,I,0,720,,n/a,n/a,9,0.15,0.09,,1.2M,3 weeks
nolan ryan mother's cookies baseball card,nolan ryan mother's cookies baseball card​,T,0,720,,n/a,n/a,9,0.05,0.06,,112K,3 weeks
paul molitor baseball card,paul molitor baseball card​,IT,0,720,,n/a,n/a,9,0.27,0.09,,n/a,1 month
randy johnson baseball card,randy johnson baseball card​,IT,0,720,,n/a,n/a,7,0.18,0.82,+2,202,1 month
rex hudler baseball card,rex hudler baseball card​,IC,0,720,,n/a,n/a,8,0.00,0.00,,38.4K,1 month
robin yount baseball card,robin yount baseball card​,IC,0,720,,n/a,n/a,7,0.13,0.19,,n/a,1 month
rollie fingers baseball card,rollie fingers baseball card​,C,0,720,,n/a,n/a,6,0.16,0.38,+2,210K,3 weeks
roy sievers baseball card,roy sievers baseball card​,T,0,720,,n/a,n/a,5,0.00,0.01,,99.5K,1 month
ruben sierra baseball card value,ruben sierra baseball card value​,IT,0,720,,n/a,n/a,7,0.00,0.00,,162K,1 month
todd hundley baseball card,todd hundley baseball card​,C,0,720,,n/a,n/a,8,0.00,0.00,,135,3 weeks
alan trammell baseball card,alan trammell baseball card​,IT,0,590,,n/a,n/a,5,0.09,0.15,,229K,1 month
andy pafko baseball card,andy pafko baseball card​,C,0,590,,n/a,n/a,8,0.07,0.06,,192,1 month
babe ruth baseball card price,babe ruth baseball card price​,T,0,590,,n/a,n/a,9,0.23,0.25,+2,40.2K,1 month
baseball card measurements,baseball card measurements​,I,0,590,,n/a,n/a,2,0.00,0.02,,12.8M,1 month
baseball card size dimensions,baseball card size dimensions​,I,0,590,,n/a,n/a,0,0.00,0.02,,109,1 month
bob uecker baseball card,bob uecker baseball card​,IC,0,590,,n/a,n/a,8,0.17,0.94,,151K,1 month
bobby bonilla baseball card,bobby bonilla baseball card​,IC,0,590,,n/a,n/a,8,0.19,0.28,,289K,4 weeks
brooks robinson baseball card,brooks robinson baseball card​,C,0,590,,n/a,n/a,6,0.18,0.59,,176,1 month
custom baseball card,custom baseball card​,C,0,590,,n/a,n/a,10,0.72,1.00,,103M,1 month
dale murphy baseball card,dale murphy baseball card​,IC,0,590,,n/a,n/a,7,0.16,0.80,,200,2 weeks
david cone baseball card,david cone baseball card​,IT,0,590,,n/a,n/a,5,0.00,0.04,,n/a,1 month
david justice baseball card,david justice baseball card​,T,0,590,,n/a,n/a,7,0.17,0.08,+2,14.3M,1 month
david ortiz baseball card,david ortiz baseball card​,IC,0,590,,n/a,n/a,9,0.26,0.40,,4.8M,3 weeks
greg maddux baseball card,greg maddux baseball card​,IT,0,590,,n/a,n/a,6,0.18,0.48,,415K,1 month
harmon killebrew baseball card,harmon killebrew baseball card​,IC,0,590,,n/a,n/a,10,0.14,0.67,,257K,1 month
how much is a babe ruth baseball card worth,how much is a babe ruth baseball card worth​,I,0,590,,n/a,n/a,8,0.27,0.09,,144,1 month
johnny bench baseball card value,johnny bench baseball card value​,IT,0,590,,n/a,n/a,5,0.65,0.03,+2,786K,3 weeks
make your own baseball card,make your own baseball card​,C,0,590,,n/a,n/a,2,0.63,1.00,+2,n/a,1 month
matt williams baseball card,matt williams baseball card​,IT,0,590,,n/a,n/a,6,0.21,0.03,,n/a,1 month
mike pagliarulo baseball card,mike pagliarulo baseball card​,IC,0,590,,n/a,n/a,5,0.00,0.00,,n/a,1 month
roger maris baseball card,roger maris baseball card​,IT,0,590,,n/a,n/a,8,0.16,1.00,+2,n/a,1 month
sammy sosa baseball card value,sammy sosa baseball card value​,IC,0,590,,n/a,n/a,10,0.51,0.36,,n/a,1 month
signed baseball card,signed baseball card​,C,0,590,,n/a,n/a,8,0.75,0.94,,103M,1 month
tim lincecum baseball card,tim lincecum baseball card​,T,0,590,,n/a,n/a,8,0.19,0.10,,n/a,1 month
tony perez baseball card,tony perez baseball card​,IT,0,590,,n/a,n/a,8,0.08,0.07,,4.1M,2 weeks
will clark baseball card,will clark baseball card​,IC,0,590,,n/a,n/a,8,0.21,0.33,,206,1 month
willie stargell baseball card,willie stargell baseball card​,IC,0,590,,n/a,n/a,8,0.13,0.34,,220K,Last week
1968 hank aaron baseball card,1968 hank aaron baseball card​,IC,0,480,,n/a,n/a,5,0.00,0.12,,n/a,1 month
albert belle baseball card,albert belle baseball card​,T,0,480,,n/a,n/a,5,0.00,0.06,,1M,3 weeks
andres galarraga baseball card,andres galarraga baseball card​,T,0,480,,n/a,n/a,5,0.07,0.03,,n/a,1 month
babe ruth baseball card for sale,babe ruth baseball card for sale​,T,0,480,,n/a,n/a,8,0.20,0.98,,n/a,1 month
barry bonds baseball card worth,barry bonds baseball card worth​,IC,0,480,,n/a,n/a,7,0.45,0.64,+3,209,3 weeks
barry larkin baseball card,barry larkin baseball card​,IC,0,480,,n/a,n/a,9,0.24,0.23,,544K,3 weeks
baseball card plaque,baseball card plaque​,C,0,480,,n/a,n/a,7,0.26,0.07,,5.1M,3 weeks
create your own baseball card,create your own baseball card​,I,0,480,,n/a,n/a,9,0.63,1.00,,105M,3 weeks
cy young baseball card,cy young baseball card​,IC,0,480,,n/a,n/a,8,0.19,0.41,+2,214,1 month
darryl strawberry all star baseball card,darryl strawberry all star baseball card​,IC,0,480,,n/a,n/a,9,0.00,0.02,,289K,3 weeks
darryl strawberry topps baseball card,darryl strawberry topps baseball card​,T,0,480,,n/a,n/a,9,0.00,0.08,,131K,3 weeks
dave winfield baseball card,dave winfield baseball card​,IT,0,480,,n/a,n/a,5,0.28,0.40,+2,481K,3 weeks
don drysdale baseball card,don drysdale baseball card​,C,0,480,,n/a,n/a,10,0.14,0.18,,n/a,1 month
dwight gooden baseball card,dwight gooden baseball card​,IT,0,480,,n/a,n/a,8,0.12,0.19,,n/a,1 month
eddie murray baseball card,eddie murray baseball card​,C,0,480,,n/a,n/a,6,0.22,0.52,,n/a,1 month
eric davis baseball card,eric davis baseball card​,T,0,480,,n/a,n/a,8,0.13,0.29,,6.5M,4 weeks
fred lynn baseball card,fred lynn baseball card​,C,0,480,,n/a,n/a,10,0.00,0.02,,2.1M,1 month
hank aaron atlanta braves baseball card,hank aaron atlanta braves baseball card​,IT,0,480,,n/a,n/a,8,0.16,0.91,,443K,1 month
hank aaron baseball card value,hank aaron baseball card value​,IC,0,480,,n/a,n/a,5,0.31,0.23,+2,900K,1 month
jim abbott baseball card,jim abbott baseball card​,IT,0,480,,n/a,n/a,10,0.11,0.43,+2,1.1M,1 month
jimmy key baseball card,jimmy key baseball card​,IC,0,480,,n/a,n/a,4,0.00,0.00,,n/a,1 month
jose uribe baseball card,jose uribe baseball card​,IT,0,480,,n/a,n/a,8,0.34,0.28,,644K,4 weeks
josh bell baseball card,josh bell baseball card​,IT,0,480,,n/a,n/a,9,0.00,0.01,,n/a,1 month
