Select all keywords,Keyword,Intent,Related %,Volume,Trend,Pot. Traffic,PKD %,KD %,CPC (USD),Com.,SERP Features,Results,Updated
pokemon porn comics,pokemon porn comics​,I,0,"27,100",,n/a,n/a,5,0.00,0.00,0,42.4M,2 weeks
pokemon p o r n comics,pokemon p o r n comics​,I,0,"12,100",,n/a,n/a,3,0.00,0.00,0,44.8M,2 weeks
pokemon card dimensions,pokemon card dimensions​,I,0,"6,600",,n/a,n/a,4,0.00,0.00,,157M,2 weeks
pokemon card size,pokemon card size​,I,0,"6,600",,n/a,n/a,5,0.00,0.00,,123M,2 weeks
card pokemon size,card pokemon size​,I,0,"5,400",,n/a,n/a,10,0.00,0.00,,82.9M,2 weeks
pokemon roms gba fire red,pokemon roms gba fire red​,I,0,"5,400",,n/a,n/a,10,0.00,0.00,,5.1M,2 weeks
how to grade pokemon cards,how to grade pokemon cards​,I,0,"4,400",,n/a,n/a,10,0.00,0.00,+2,22.5M,2 weeks
pokemon firered rom,pokemon firered rom​,I,0,"4,400",,n/a,n/a,10,0.00,0.00,,16.3M,Last week
pokemon soul silver cheats,pokemon soul silver cheats​,I,0,"4,400",,n/a,n/a,8,0.00,0.00,,78,2 weeks
pokemon tcg cards size,pokemon tcg cards size​,I,0,"4,400",,n/a,n/a,2,0.00,0.00,,175,2 weeks
korean pokemon cards,korean pokemon cards​,C,0,"3,600",,n/a,n/a,10,0.38,0.98,+3,181,2 weeks
pokemon comic porn,pokemon comic porn​,I,0,"3,600",,n/a,n/a,7,0.00,0.00,0,93.2M,2 weeks
pokemon leaf green rom,pokemon leaf green rom​,I,0,"3,600",,n/a,n/a,9,0.00,0.00,,5.1M,2 weeks
pokemon omega ruby and alpha sapphire qr codes,pokemon omega ruby and alpha sapphire qr codes​,I,0,"3,600",,n/a,n/a,6,0.00,0.00,+2,227K,2 weeks
pokemon pron comics,pokemon pron comics​,I,0,"3,600",,n/a,n/a,6,0.00,0.00,0,21.9M,2 weeks
pokemon set symbols,pokemon set symbols​,I,0,"3,600",,n/a,n/a,0,0.00,0.01,,21.5M,2 weeks
pokemon soulsilver cheats,pokemon soulsilver cheats​,I,0,"3,600",,n/a,n/a,8,0.00,0.00,+2,5.8M,2 weeks
nds roms pokemon white 2,nds roms pokemon white 2​,I,0,"2,900",,n/a,n/a,9,0.00,0.00,,3.6M,2 weeks
pokemon heart gold soul silver player sprite replacement,pokemon heart gold soul silver player sprite replacement​,I,0,"2,900",,n/a,n/a,10,0.00,0.00,+2,112,Last week
pokemon hentai comic,pokemon hentai comic​,I,0,"2,900",,n/a,n/a,4,0.00,0.00,,31.6M,2 weeks
pokemon legends za pokedex tracker,pokemon legends za pokedex tracker​,I,0,"2,900",,n/a,n/a,3,0.00,0.33,,38.2K,2 weeks
pokemon pikachu edition rom,pokemon pikachu edition rom​,I,0,"2,900",,n/a,n/a,9,0.00,0.00,,9.5M,2 weeks
pokemon qr codes for omega ruby,pokemon qr codes for omega ruby​,I,0,"2,900",,n/a,n/a,10,0.00,0.00,+2,135K,2 weeks
pokemon ruby rom,pokemon ruby rom​,I,0,"2,900",,n/a,n/a,10,0.00,0.00,,101,2 weeks
pokemon sex comic,pokemon sex comic​,I,0,"2,900",,n/a,n/a,5,0.00,0.00,0,86.9M,2 weeks
pokemon stat calculator,pokemon stat calculator​,I,0,"2,900",,n/a,n/a,9,0.00,0.00,,19.5M,Last week
