Select all keywords,Keyword,Intent,Related %,Volume,Trend,Pot. Traffic,PKD %,KD %,CPC (USD),Com.,SF,Results,Updated
cryptocurrency concepts,cryptocurrency concepts​,I,0,450.0K,,n/a,n/a,94,0.00,0.00,5,157,2 weeks
what is cryptocurrency,what is cryptocurrency​,I,0,450.0K,,n/a,n/a,94,0.11,0.21,4,682M,2 weeks
what is blockchain,what is blockchain​,I,0,368.0K,,n/a,n/a,95,0.16,0.19,7,780M,2 weeks
blockchain technology,blockchain technology​,I,0,201.0K,,n/a,n/a,100,0.62,0.03,7,164M,Last week
ethereum,ethereum​,N,0,201.0K,,n/a,n/a,100,0.00,0.00,9,94.6M,Last week
eth,eth​,I,0,165.0K,,n/a,n/a,100,0.00,0.00,7,250M,2 weeks
ethereum price usd,ethereum price usd​,I,0,165.0K,,n/a,n/a,100,0.00,0.00,3,38.7M,2 weeks
cryptocurrency,cryptocurrency​,I,0,135.0K,,n/a,n/a,100,2.32,0.25,7,328M,2 weeks
blockchain,blockchain​,IN,0,110.0K,,n/a,n/a,100,1.02,0.15,6,492,Last week
ether,ether​,I,0,74.0K,,n/a,n/a,85,2.97,0.01,7,60.5M,Last week
ethereum news,ethereum news​,I,0,60.5K,,n/a,n/a,100,0.00,0.00,4,184M,2 weeks
what is bitcoin,what is bitcoin​,I,0,40.5K,,n/a,n/a,84,0.00,0.00,7,814M,Last week
bit coin,bit coin​,I,0,33.1K,,n/a,n/a,100,0.00,0.00,7,3.2K,2 weeks
stellar,stellar​,I,0,33.1K,,n/a,n/a,84,0.00,0.00,7,185M,2 weeks
etherium,etherium​,I,0,27.1K,,n/a,n/a,100,0.00,0.00,6,86,2 weeks
block chain,block chain​,IN,0,22.2K,,n/a,n/a,99,1.02,0.15,6,938M,Last week
crypto currency,crypto currency​,I,0,22.2K,,n/a,n/a,95,2.32,0.25,8,584M,Last week
cryptocurrency bitcoin,cryptocurrency bitcoin​,I,0,22.2K,,n/a,n/a,100,0.00,0.00,7,89.1M,2 weeks
stellar bank,stellar bank​,N,0,22.2K,,n/a,n/a,45,0.00,0.00,4,71.4M,Last week
what is crypto,what is crypto​,I,0,22.2K,,n/a,n/a,86,0.66,0.16,6,863M,Last week
bitcoin meaning,bitcoin meaning​,I,0,18.1K,,n/a,n/a,96,0.00,0.00,5,130,2 weeks
blockchain explorer,blockchain explorer​,N,0,18.1K,,n/a,n/a,91,1.22,0.10,6,326M,2 weeks
block explorer,block explorer​,I,0,14.8K,,n/a,n/a,86,1.22,0.10,3,324M,2 weeks
blockchain in healthcare,blockchain in healthcare​,I,0,14.8K,,n/a,n/a,65,0.00,0.01,5,96,2 weeks
blockchain in intellectual property,blockchain in intellectual property​,I,0,14.8K,,n/a,n/a,17,0.00,0.00,5,24.9M,Last week
