Select all keywords,Keyword,Intent,Related %,Volume,Trend,Pot. Traffic,PKD %,KD %,CPC (USD),Com.,SERP Features,Results,Updated
luxury vacation rental guidebook criteria,luxury vacation rental guidebook criteria​,I,0,"49,500",,n/a,n/a,1,0.00,0.00,,32.3M,2 weeks
luxury villas italy le collectionist,luxury villas italy le collectionist​,NC,0,"40,500",,n/a,n/a,24,3.85,0.20,,1.3M,Last week
cruise line luxury,cruise line luxury​,C,0,"18,100",,n/a,n/a,27,3.52,0.06,+3,195M,2 weeks
affordable luxury jewelry,affordable luxury jewelry​,C,0,"14,800",,n/a,n/a,27,1.41,0.38,+3,76.9M,Last week
luxury girl,luxury girl​,I,0,"12,100",,n/a,n/a,29,0.00,0.00,,616M,2 weeks
luxury vinyl tile,luxury vinyl tile​,I,0,"12,100",,n/a,n/a,25,1.16,1.00,+3,26.7M,Last week
galaxy tulare luxury+ theatre,galaxy tulare luxury+ theatre​,N,0,"9,900",,n/a,n/a,28,0.51,0.01,,505,Last week
luxury mattress,luxury mattress​,C,0,"9,900",,n/a,n/a,20,5.69,0.31,,111M,2 weeks
luxury sunglasses,luxury sunglasses​,C,0,"8,100",,n/a,n/a,28,1.05,1.00,+4,192,2 weeks
4 star hotels,4 star hotels​,I,0,"6,600",,n/a,n/a,24,1.41,0.23,+2,297M,Last week
riverbank luxury movie theater,riverbank luxury movie theater​,IT,0,"6,600",,n/a,n/a,23,0.15,0.05,,388K,Last week
7w21 flatiron luxury rental apartments address,7w21 flatiron luxury rental apartments address​,IT,0,"5,400",,n/a,n/a,25,0.00,0.00,,905,2 weeks
affordable luxury watches,affordable luxury watches​,I,0,"5,400",,n/a,n/a,28,0.74,0.37,+3,71.6M,Last week
green valley luxury theatre henderson nv,green valley luxury theatre henderson nv​,N,0,"5,400",,n/a,n/a,22,0.27,0.01,,111,2 weeks
honda luxury brand,honda luxury brand​,I,0,"5,400",,n/a,n/a,25,2.44,0.94,+3,202M,Last week
hotel la luxury,hotel la luxury​,I,0,"5,400",,n/a,n/a,28,1.91,0.18,+2,353M,Last week
luxury apartment complexes near me,luxury apartment complexes near me​,T,0,"5,400",,n/a,n/a,29,2.21,0.68,,188M,2 weeks
luxury jersey quarter zip,luxury jersey quarter zip​,C,0,"5,400",,n/a,n/a,16,0.89,0.01,,5.6M,2 weeks
