source_url,target_url,source_title,target_title,reason,batch
https://bitcoininfonews.com/arizona-bitcoin-reserve-bill-veto-2/,https://bitcoininfonews.com/arizona-bitcoin-reserve-bill-veto/,Arizona Governor Vetoes Bitcoin Reserve Bill Amid Criticism,Arizona Governor Vetoes Bill Allowing Bitcoin Reserves,numbered duplicate with indexable base canonical,batch_3_duplicate_consolidation
https://bitcoininfonews.com/arthur-hayes-bitcoin-110k-prediction-2/,https://bitcoininfonews.com/arthur-hayes-bitcoin-110k-prediction/,Arthur Hayes Predicts Bitcoin Must Hit $110K for Alt Season,Arthur Hayes Predicts Bitcoin Rise to $110K,numbered duplicate with indexable base canonical,batch_3_duplicate_consolidation
https://bitcoininfonews.com/arthur-hayes-bitcoin-million-2028-2/,https://bitcoininfonews.com/arthur-hayes-bitcoin-million-2028/,Arthur Hayes Predicts Bitcoin to Hit $1 Million by 2028,Arthur Hayes Predicts Bitcoin Reaching $1 Million by 2028,numbered duplicate with indexable base canonical,batch_3_duplicate_consolidation
https://bitcoininfonews.com/atticus-2-billion-valuation-funding-2/,https://bitcoininfonews.com/atticus-2-billion-valuation-funding/,Atticus Aims for $2 Billion Valuation in New Funding Round,Atticus Nears $2 Billion Valuation in New Funding Round,numbered duplicate with indexable base canonical,batch_3_duplicate_consolidation
https://bitcoininfonews.com/binance-kyrgyzstan-crypto-partnership-2/,https://bitcoininfonews.com/binance-kyrgyzstan-crypto-partnership/,Binance Partners with Kyrgyzstan for Crypto Infrastructure,Binance Partners with Kyrgyzstan to Boost Crypto Ecosystem,numbered duplicate with indexable base canonical,batch_3_duplicate_consolidation
https://bitcoininfonews.com/binance-usd1-stablecoin-integration-2/,https://bitcoininfonews.com/binance-usd1-stablecoin-integration/,Binance Switches BUSD Collateral to New Stablecoin USD1,Binance Integrates USD1 Stablecoin by Trump-Linked Platform,numbered duplicate with indexable base canonical,batch_3_duplicate_consolidation
https://bitcoininfonews.com/bitcoin-100k-short-liquidations-2/,https://bitcoininfonews.com/bitcoin-100k-short-liquidations/,Bitcoin Surpasses $100K Amidst Massive Short Liquidations on Major Exchanges,"Bitcoin Surpasses $100K, Triggers Surge in Short Liquidations",numbered duplicate with indexable base canonical,batch_3_duplicate_consolidation
https://bitcoininfonews.com/bitcoin-110k-institutional-buying-2/,https://bitcoininfonews.com/bitcoin-110k-institutional-buying/,Bitcoin Nears $110K Amid Institutional Buying Surge,Bitcoin Surpasses $110K Again Amid Institutional Buying,numbered duplicate with indexable base canonical,batch_3_duplicate_consolidation
https://bitcoininfonews.com/bitcoin-all-time-high-institutional-inflows-2/,https://bitcoininfonews.com/bitcoin-all-time-high-institutional-inflows/,Bitcoin Hits New All-Time High as Institutional Inflows Surge,Bitcoin Hits New All-Time High Amid Institutional Interest,numbered duplicate with indexable base canonical,batch_3_duplicate_consolidation
https://bitcoininfonews.com/bitcoin-etf-record-inflows-market-2/,https://bitcoininfonews.com/bitcoin-etf-record-inflows-market/,Bitcoin ETF Inflows Reach Record Amid Market Changes,Bitcoin ETFs Show Record Inflows as Market Gains Traction,numbered duplicate with indexable base canonical,batch_3_duplicate_consolidation
https://bitcoininfonews.com/bitcoin-nears-all-time-high-2/,https://bitcoininfonews.com/bitcoin-nears-all-time-high/,Bitcoin Nears Peak with Institutional and Political Support,Bitcoin Nears All-Time High Amid Market Excitement,numbered duplicate with indexable base canonical,batch_3_duplicate_consolidation
https://bitcoininfonews.com/bitcoin-nears-all-time-high-3/,https://bitcoininfonews.com/bitcoin-nears-all-time-high/,Bitcoin Nears All-Time High Amid Regulatory and Institutional Momentum,Bitcoin Nears All-Time High Amid Market Excitement,numbered duplicate with indexable base canonical,batch_3_duplicate_consolidation
https://bitcoininfonews.com/bitcoin-outperforming-gold-pompliano-geopolitics-2/,https://bitcoininfonews.com/bitcoin-outperforming-gold-pompliano-geopolitics/,"Why Bitcoin Is Outperforming Gold Right Now, According to Pompliano","Why Bitcoin Is Outperforming Gold Right Now, According to Pompliano",numbered duplicate with indexable base canonical,batch_3_duplicate_consolidation
https://bitcoininfonews.com/bitcoin-spot-etf-inflows-167-million-2/,https://bitcoininfonews.com/bitcoin-spot-etf-inflows-167-million/,"Bitcoin Spot ETFs Record $167M Net Inflow, Ending 3-Day Outflow Streak","Bitcoin Spot ETFs Record $167M Net Inflow, Ending 3-Day Outflow Streak",numbered duplicate with indexable base canonical,batch_3_duplicate_consolidation
https://bitcoininfonews.com/bitcoin-volatility-us-tariffs-2/,https://bitcoininfonews.com/bitcoin-volatility-us-tariffs/,Bitcoin Faces Volatility Amid New U.S. Tariff Actions,Bitcoin Experiences Volatility Amid U.S. Tariff Announcements,numbered duplicate with indexable base canonical,batch_3_duplicate_consolidation
https://bitcoininfonews.com/bitget-legal-action-voxel-manipulation-2/,https://bitcoininfonews.com/bitget-legal-action-voxel-manipulation/,Bitget Pursues Legal Action in $20M VOXEL Manipulation Case,Bitget Pursues Legal Action Against Suspected Market Manipulators,numbered duplicate with indexable base canonical,batch_3_duplicate_consolidation
https://bitcoininfonews.com/bitwise-chainlink-spot-etf-filing-2/,https://bitcoininfonews.com/bitwise-chainlink-spot-etf-filing/,Bitwise Files First Spot Chainlink ETF with SEC,Bitwise Files for Chainlink (LINK) Spot ETF with SEC,numbered duplicate with indexable base canonical,batch_3_duplicate_consolidation
