source_url,target_url,source_title,target_title,reason,batch,score
https://bitcoininfonews.com/250m-asset-manager-on-morgan-stanley-bitcoin-etf-impact/,https://bitcoininfonews.com/exclusive-250m-asset-manager-morgan-stanley-bitcoin-etf-impact/,,,Very close slug variant to current winner.,batch_1_internal_link_cleanup_and_404_mapping,0.944
https://bitcoininfonews.com/341m-crypto-liquidations-hit-shorts-in-24-hours/,https://bitcoininfonews.com/341m-crypto-liquidations-shorts-24-hours/,,,Close enough to current winner for direct 301.,batch_1_internal_link_cleanup_and_404_mapping,0.870
https://bitcoininfonews.com/aave-stablecoin-yields-beat-banks-trail-the-fed/,https://bitcoininfonews.com/aave-stablecoin-yields-beat-banks-trail-fed/,,,Very close slug variant to current winner.,batch_1_internal_link_cleanup_and_404_mapping,0.991
https://bitcoininfonews.com/best-crypto-casinos-of-2026-spartans-stake-bitcasino-io-rollbit-redefine-online-gambling/,https://bitcoininfonews.com/best-crypto-casinos-of-2026-spartans-stake-bitcasino-io-and-amp-rollbit-redefine-online-gambling/,,,Very close slug variant to current winner.,batch_1_internal_link_cleanup_and_404_mapping,0.968
https://bitcoininfonews.com/bitcoin-70k-ethereum-buy-zone-sec-crypto-framework-weekend-roundup/,https://bitcoininfonews.com/bitcoin-70000-ethereum-buy-zone-sec-crypto-framework-weekend-roundup/,,,Close enough to current winner for direct 301.,batch_1_internal_link_cleanup_and_404_mapping,0.889
https://bitcoininfonews.com/bitcoin-etf-inflows-march/,https://bitcoininfonews.com/bitcoin-eth-sol-etf-inflows-march/,,,Close enough to current winner for direct 301.,batch_1_internal_link_cleanup_and_404_mapping,0.872
https://bitcoininfonews.com/bitcoin-etf-multiplier-effect-cory-klippsten-btc/,https://bitcoininfonews.com/bitcoin-etf-multiplier-effect-cory-klippsten/,,,Close enough to current winner for direct 301.,batch_1_internal_link_cleanup_and_404_mapping,0.877
https://bitcoininfonews.com/bitcoin-etf-outflows-risk-assets-sell-off/,https://bitcoininfonews.com/bitcoin-etf-outflows-us-stock-etfs-risk-assets-sell-off/,,,Close enough to current winner for direct 301.,batch_1_internal_link_cleanup_and_404_mapping,0.881
https://bitcoininfonews.com/bitcoin-falls-below-69000-down-1-27-on-the-day/,https://bitcoininfonews.com/bitcoin-falls-below-69000-down-1-27-percent/,,,Close enough to current winner for direct 301.,batch_1_internal_link_cleanup_and_404_mapping,0.842
https://bitcoininfonews.com/bitcoin-up-6-percent-75000-ether-xrp-rally/,https://bitcoininfonews.com/why-bitcoin-suddenly-up-6-percent-75000-ether-xrp-rally/,,,Very close slug variant to current winner.,batch_1_internal_link_cleanup_and_404_mapping,0.907
https://bitcoininfonews.com/bitmax-denies-selling-bitcoin-overseas-transfers-security-measure/,https://bitcoininfonews.com/bitmax-denies-selling-bitcoin-overseas-exchange-transfers-security/,,,Close enough to current winner for direct 301.,batch_1_internal_link_cleanup_and_404_mapping,0.845
https://bitcoininfonews.com/blackrock-deposits-47728-eth-and-544-btc-into-coinbase-prime/,https://bitcoininfonews.com/blackrock-deposits-47728-eth-544-btc-coinbase-prime/,,,Very close slug variant to current winner.,batch_1_internal_link_cleanup_and_404_mapping,0.984
https://bitcoininfonews.com/blackrock-deposits-eth-btc-coinbase-prime/,https://bitcoininfonews.com/blackrock-deposits-47728-eth-544-btc-coinbase-prime/,,,Very close slug variant to current winner.,batch_1_internal_link_cleanup_and_404_mapping,0.903
https://bitcoininfonews.com/blockdag-trademay30-code-cardano-crypto-stability-hyperliquid-coin-trend/,https://bitcoininfonews.com/blockdag-drops-trademay30-code-for-early-supporters-more-updates-on-cardano-crypto-stability-hyperliquid-coin-trend/,,,Close enough to current winner for direct 301.,batch_1_internal_link_cleanup_and_404_mapping,0.847
https://bitcoininfonews.com/buyers-rush-to-secure-blockdag-at-0-0000061-while-hyperliquid-battles-35-floor-monero-eyes-upside/,https://bitcoininfonews.com/buyers-rush-to-secure-blockdag-at-0-0000061-while-hyperliquid-battles-35-floor-and-monero-eyes-upside/,,,Very close slug variant to current winner.,batch_1_internal_link_cleanup_and_404_mapping,0.996
https://bitcoininfonews.com/bydfi-expands-european-reach-next-block-expo-2026-warsaw/,https://bitcoininfonews.com/bydfi-expands-european-reach-with-next-block-expo-2026-sponsorship-in-warsaw/,,,Very close slug variant to current winner.,batch_1_internal_link_cleanup_and_404_mapping,0.940
https://bitcoininfonews.com/bydfis-expands-european-reach-with-next-block-expo-2026-sponsorship-in-warsaw/,https://bitcoininfonews.com/bydfi-expands-european-reach-with-next-block-expo-2026-sponsorship-in-warsaw/,,,Close enough to current winner for direct 301.,batch_1_internal_link_cleanup_and_404_mapping,0.894
https://bitcoininfonews.com/citibank-hong-kong-stablecoin-market-hk124-8-billion/,https://bitcoininfonews.com/citibank-hong-kong-stablecoin-market-hk124-billion/,,,Close enough to current winner for direct 301.,batch_1_internal_link_cleanup_and_404_mapping,0.896
https://bitcoininfonews.com/crypto-first-quarter-profit-squeeze-warning-coinbase-robinhood-figure/,https://bitcoininfonews.com/crypto-first-quarter-profit-squeeze-bernstein-coinbase-robinhood-figure/,,,Close enough to current winner for direct 301.,batch_1_internal_link_cleanup_and_404_mapping,0.873
https://bitcoininfonews.com/drift-protocol-exploit-285m-stolen-solana/,https://bitcoininfonews.com/drift-protocol-exploit-solana-285m-stolen/,,,Very close slug variant to current winner.,batch_1_internal_link_cleanup_and_404_mapping,0.966
https://bitcoininfonews.com/drift-protocol-exploit-sees-285m-stolen-on-solana/,https://bitcoininfonews.com/drift-protocol-exploit-solana-285m-stolen/,,,Close enough to current winner for direct 301.,batch_1_internal_link_cleanup_and_404_mapping,0.846
https://bitcoininfonews.com/drift-protocol-hack-sparks-iou-airdrop-backlash/,https://bitcoininfonews.com/drift-protocol-hack-iou-airdrop-backlash/,,,Close enough to current winner for direct 301.,batch_1_internal_link_cleanup_and_404_mapping,0.870
https://bitcoininfonews.com/ethereum-crypto-early-strength-over-bitcoin-q2-shift-momentum/,https://bitcoininfonews.com/ethereum-crypto-shows-early-strength-over-bitcoin-why-q2-could-shift-momentum/,,,Very close slug variant to current winner.,batch_1_internal_link_cleanup_and_404_mapping,0.902
https://bitcoininfonews.com/ethereum-spot-etf-55-million-net-outflow/,https://bitcoininfonews.com/ethereum-spot-etf-net-outflow-55-million/,,,Very close slug variant to current winner.,batch_1_internal_link_cleanup_and_404_mapping,0.945
https://bitcoininfonews.com/exclusive-250m-asset-manager-on-morgan-stanley-bitcoin-etf-impact/,https://bitcoininfonews.com/exclusive-250m-asset-manager-morgan-stanley-bitcoin-etf-impact/,,,Very close slug variant to current winner.,batch_1_internal_link_cleanup_and_404_mapping,0.995
