source_url,target_url,source_title,target_title,reason,batch,score,title_token_coverage
https://bitcoininfonews.com/193-million-crypto-liquidations-24-hours-shorts-squeezed,https://bitcoininfonews.com/193-million-crypto-liquidations-24-hours-short-positions/,,,Promoted from manual review: full title-token match with current winner.,batch_1_internal_link_cleanup_and_404_mapping,0.726,1.000
https://bitcoininfonews.com/banque-syz-crypto-strategy-heir-departure/,https://bitcoininfonews.com/banque-syz-crypto-family-feud-heir-departure/,,,Promoted from manual review: full title-token match with current winner.,batch_1_internal_link_cleanup_and_404_mapping,0.769,1.000
https://bitcoininfonews.com/binance-adds-spot-pairs-to-altcoin-liquidity-program/,https://bitcoininfonews.com/binance-spot-altcoin-liquidity-enhancement-program-new-pairs-april-2026/,,,Promoted from manual review: full title-token match with current winner.,batch_1_internal_link_cleanup_and_404_mapping,0.732,1.000
https://bitcoininfonews.com/binance-alpha-airdrop-opens-today-240-points-minimum/,https://bitcoininfonews.com/binance-alpha-airdrop-today-1800-240-points/,,,Promoted from manual review: full title-token match with current winner.,batch_1_internal_link_cleanup_and_404_mapping,0.735,1.000
https://bitcoininfonews.com/bitcoin-depot-3-6m-hack-sparks-backlash-over-3-day-delay/,https://bitcoininfonews.com/bitcoin-depot-3-6m-hack-three-day-delay-backlash/,,,Promoted from manual review: full title-token match with current winner.,batch_1_internal_link_cleanup_and_404_mapping,0.757,1.000
https://bitcoininfonews.com/bitcoin-etf-outflows-accelerate-risk-assets-sell-off,https://bitcoininfonews.com/bitcoin-etf-outflows-us-stock-etfs-risk-assets-sell-off/,,,Promoted from manual review: full title-token match with current winner.,batch_1_internal_link_cleanup_and_404_mapping,0.797,1.000
https://bitcoininfonews.com/bitcoin-ethereum-options-1-97-billion-expire-today/,https://bitcoininfonews.com/bitcoin-ethereum-options-expiry-1-97-billion/,,,Promoted from manual review: full title-token match with current winner.,batch_1_internal_link_cleanup_and_404_mapping,0.732,1.000
https://bitcoininfonews.com/bitcoin-holds-70k-ethereum-buy-zone-sec-crypto-framework-weekend-crypto-roundup/,https://bitcoininfonews.com/bitcoin-70000-ethereum-buy-zone-sec-crypto-framework-weekend-roundup/,,,Promoted from manual review: full title-token match with current winner.,batch_1_internal_link_cleanup_and_404_mapping,0.811,1.000
https://bitcoininfonews.com/bitget-delist-blum-usdt-token,https://bitcoininfonews.com/bitget-delist-blum-usdt/,,,Promoted from manual review: full title-token match with current winner.,batch_1_internal_link_cleanup_and_404_mapping,0.817,1.000
https://bitcoininfonews.com/blackrock-ethereum-etf-surpasses-250m-aum-first-week/,https://bitcoininfonews.com/blackrock-ethereum-etf-250-million-aum-first-week/,,,Promoted from manual review: full title-token match with current winner.,batch_1_internal_link_cleanup_and_404_mapping,0.721,1.000
https://bitcoininfonews.com/boyaa-interactive-70-million-budget-cryptocurrency/,https://bitcoininfonews.com/boyaa-interactive-70-million-cryptocurrency-acquisition/,,,Promoted from manual review: full title-token match with current winner.,batch_1_internal_link_cleanup_and_404_mapping,0.795,1.000
https://bitcoininfonews.com/coldcard-mk5-bitcoin-wallet-why-it-is-so-hard-to-hack/,https://bitcoininfonews.com/coldcard-mk5-bitcoin-wallet-hard-to-hack/,,,Promoted from manual review: full title-token match with current winner.,batch_1_internal_link_cleanup_and_404_mapping,0.772,1.000
https://bitcoininfonews.com/crypto-first-quarter-profit-squeeze-warning-hits-coinbase-robinhood-figure/,https://bitcoininfonews.com/crypto-first-quarter-profit-squeeze-bernstein-coinbase-robinhood-figure/,,,Promoted from manual review: full title-token match with current winner.,batch_1_internal_link_cleanup_and_404_mapping,0.800,1.000
https://bitcoininfonews.com/ecb-defi-dao-governance-tokens-mica-exemptions/,https://bitcoininfonews.com/ecb-paper-defi-dao-governance-tokens-mica-exemption/,,,Promoted from manual review: full title-token match with current winner.,batch_1_internal_link_cleanup_and_404_mapping,0.814,1.000
https://bitcoininfonews.com/ethereum-spot-etf-55-7m-net-outflow/,https://bitcoininfonews.com/ethereum-spot-etf-net-outflow-55-million/,,,Promoted from manual review: full title-token match with current winner.,batch_1_internal_link_cleanup_and_404_mapping,0.808,1.000
https://bitcoininfonews.com/european-parliament-approves-eu-us-trade-agreement-crypto-market-impact/,https://bitcoininfonews.com/european-parliament-approves-eu-us-trade-agreement/,,,Promoted from manual review: full title-token match with current winner.,batch_1_internal_link_cleanup_and_404_mapping,0.725,1.000
https://bitcoininfonews.com/fed-governor-milan-rate-cuts-2026/,https://bitcoininfonews.com/federal-reserve-governor-milan-four-rate-cuts-2026/,,,Promoted from manual review: full title-token match with current winner.,batch_1_internal_link_cleanup_and_404_mapping,0.742,1.000
https://bitcoininfonews.com/fed-rate-cut-odds-vanishing-bitcoin/,https://bitcoininfonews.com/fed-rate-cut-odds-bitcoin-crypto-markets/,,,Promoted from manual review: full title-token match with current winner.,batch_1_internal_link_cleanup_and_404_mapping,0.738,1.000
https://bitcoininfonews.com/fed-rate-hike-odds-bank-of-america-conditions/,https://bitcoininfonews.com/fed-rate-hike-probability-2026-bank-of-america-three-conditions/,,,Promoted from manual review: full title-token match with current winner.,batch_1_internal_link_cleanup_and_404_mapping,0.764,1.000
https://bitcoininfonews.com/fed-waller-rate-hikes-not-necessary-bitcoin/,https://bitcoininfonews.com/fed-governor-waller-interest-rate-hike-not-necessary-bitcoin/,,,Promoted from manual review: full title-token match with current winner.,batch_1_internal_link_cleanup_and_404_mapping,0.772,1.000
https://bitcoininfonews.com/fluid-suspends-usr-marketplace-compensation/,https://bitcoininfonews.com/fluid-usr-marketplace-suspended-compensation/,,,Promoted from manual review: full title-token match with current winner.,batch_1_internal_link_cleanup_and_404_mapping,0.756,1.000
https://bitcoininfonews.com/kb-card-avalanche-hybrid-stablecoin-credit-card-payments/,https://bitcoininfonews.com/kb-card-south-korea-avalanche-hybrid-stablecoin-credit-card-payment-system/,,,Promoted from manual review: full title-token match with current winner.,batch_1_internal_link_cleanup_and_404_mapping,0.765,1.000
https://bitcoininfonews.com/kevin-warsh-fed-chair-nomination-crypto/,https://bitcoininfonews.com/kevin-warsh-fed-chair-nomination-stalled/,,,Promoted from manual review: full title-token match with current winner.,batch_1_internal_link_cleanup_and_404_mapping,0.803,1.000
https://bitcoininfonews.com/kraken-gets-direct-fed-access-in-first-for-crypto-banking/,https://bitcoininfonews.com/kraken-direct-fed-access-crypto-banking/,,,Promoted from manual review: full title-token match with current winner.,batch_1_internal_link_cleanup_and_404_mapping,0.762,1.000
https://bitcoininfonews.com/lido-responds-to-resolv-labs-vulnerability-attack-user-funds-are-safe/,https://bitcoininfonews.com/lido-responds-resolv-labs-vulnerability-user-funds-safe/,,,Promoted from manual review: full title-token match with current winner.,batch_1_internal_link_cleanup_and_404_mapping,0.817,1.000
https://bitcoininfonews.com/mirae-asset-securities-eyes-hong-kong-retail-crypto-market/,https://bitcoininfonews.com/mirae-asset-securities-hong-kong-retail-cryptocurrency-market/,,,Promoted from manual review: full title-token match with current winner.,batch_1_internal_link_cleanup_and_404_mapping,0.777,1.000
https://bitcoininfonews.com/morgan-stanley-bitcoin-spot-etf-gets-official-listing-announcement/,https://bitcoininfonews.com/morgan-stanley-bitcoin-spot-etf-listing-announcement/,,,Promoted from manual review: full title-token match with current winner.,batch_1_internal_link_cleanup_and_404_mapping,0.798,1.000
https://bitcoininfonews.com/morgan-stanley-says-crypto-etf-adoption-is-still-early-as-advisor-access-expands-slowly/,https://bitcoininfonews.com/morgan-stanley-crypto-etf-adoption-still-early-advisor-access-slow/,,,Promoted from manual review: full title-token match with current winner.,batch_1_internal_link_cleanup_and_404_mapping,0.755,1.000
https://bitcoininfonews.com/nyse-removes-position-limits-crypto-etf-options-landmark-rule-change/,https://bitcoininfonews.com/nyse-removes-position-limits-crypto-etf-options/,,,Promoted from manual review: full title-token match with current winner.,batch_1_internal_link_cleanup_and_404_mapping,0.723,1.000
https://bitcoininfonews.com/polkadot-hack-1b-dot-minted-on-ethereum-profit-cap-explained/,https://bitcoininfonews.com/polkadot-hack-1b-dot-minted-on-ethereum-liquidity-cap-profits/,,,Promoted from manual review: full title-token match with current winner.,batch_1_internal_link_cleanup_and_404_mapping,0.732,1.000
https://bitcoininfonews.com/rave-liquidation-volume-hits-30-6m-trails-btc-eth/,https://bitcoininfonews.com/rave-liquidation-volume-30-6m-btc-eth/,,,Promoted from manual review: full title-token match with current winner.,batch_1_internal_link_cleanup_and_404_mapping,0.794,1.000
https://bitcoininfonews.com/ripple-launches-first-treasury-management-system-what-it-means-for-xrp-utility/,https://bitcoininfonews.com/ripple-launches-first-treasury-management-system-xrp-enterprise-utility/,,,Promoted from manual review: full title-token match with current winner.,batch_1_internal_link_cleanup_and_404_mapping,0.779,1.000
https://bitcoininfonews.com/ripple-news-rlusd-push-behind-federal-banking-charter-bid/,https://bitcoininfonews.com/ripple-news-rlusd-push-federal-banking-charter/,,,Promoted from manual review: full title-token match with current winner.,batch_1_internal_link_cleanup_and_404_mapping,0.801,1.000
https://bitcoininfonews.com/ripple-partners-with-ex-western-union-unit-to-streamline-cross-border-payments-is-xrp-set-for-a-breakout/,https://bitcoininfonews.com/ripple-partnership-ex-western-union-unit-cross-border-payments-xrp-breakout/,,,Promoted from manual review: full title-token match with current winner.,batch_1_internal_link_cleanup_and_404_mapping,0.762,1.000
https://bitcoininfonews.com/ripple-rlusd-automated-settlement-singapore/,https://bitcoininfonews.com/ripple-rlusd-automated-settlement-cross-border-trade-singapore-sandbox/,,,Promoted from manual review: full title-token match with current winner.,batch_1_internal_link_cleanup_and_404_mapping,0.819,1.000
https://bitcoininfonews.com/sec-and-cftc-new-rules-unlock-three-compliant-crypto-fundraising-models-without-token-sales/,https://bitcoininfonews.com/sec-cftc-rules-compliant-crypto-fundraising-models-no-token-sales/,,,Promoted from manual review: full title-token match with current winner.,batch_1_internal_link_cleanup_and_404_mapping,0.747,1.000
https://bitcoininfonews.com/sec-cftc-crypto-fundraising-models/,https://bitcoininfonews.com/sec-cftc-rules-compliant-crypto-fundraising-models-no-token-sales/,,,Promoted from manual review: full title-token match with current winner.,batch_1_internal_link_cleanup_and_404_mapping,0.787,1.000
https://bitcoininfonews.com/sec-cftc-new-rules-three-compliant-crypto-fundraising-models/,https://bitcoininfonews.com/sec-cftc-rules-compliant-crypto-fundraising-models-no-token-sales/,,,Promoted from manual review: full title-token match with current winner.,batch_1_internal_link_cleanup_and_404_mapping,0.788,1.000
https://bitcoininfonews.com/sec-nears-reg-crypto-guidance-for-fundraising-atkins-says/,https://bitcoininfonews.com/sec-reg-crypto-fundraising-guidance-atkins/,,,Promoted from manual review: full title-token match with current winner.,batch_1_internal_link_cleanup_and_404_mapping,0.733,1.000
https://bitcoininfonews.com/senator-warren-accuses-trump-blocking-federal-reserve-interest-rate-cuts/,https://bitcoininfonews.com/senator-warren-trump-obstructing-federal-reserve-interest-rate-cuts/,,,Promoted from manual review: full title-token match with current winner.,batch_1_internal_link_cleanup_and_404_mapping,0.794,1.000
https://bitcoininfonews.com/shiba-inu-death-cross-forms-as-441m-crypto-liquidations-hit-market/,https://bitcoininfonews.com/shiba-inu-death-cross-441m-crypto-liquidations/,,,Promoted from manual review: full title-token match with current winner.,batch_1_internal_link_cleanup_and_404_mapping,0.724,1.000
https://bitcoininfonews.com/small-altcoin-doubles-market-cap-after-binance-futures-hashkey-listings/,https://bitcoininfonews.com/altcoin-doubles-market-cap-binance-futures-hashkey-listing/,,,Promoted from manual review: full title-token match with current winner.,batch_1_internal_link_cleanup_and_404_mapping,0.721,1.000
https://bitcoininfonews.com/small-altcoin-doubles-market-cap-binance-futures-hashkey-listings/,https://bitcoininfonews.com/altcoin-doubles-market-cap-binance-futures-hashkey-listing/,,,Promoted from manual review: full title-token match with current winner.,batch_1_internal_link_cleanup_and_404_mapping,0.788,1.000
https://bitcoininfonews.com/solana-crypto-faces-mixed-signals-near-key-levels-as-traders-stay-divided/,https://bitcoininfonews.com/solana-crypto-mixed-signals-key-levels-traders-divided/,,,Promoted from manual review: full title-token match with current winner.,batch_1_internal_link_cleanup_and_404_mapping,0.752,1.000
https://bitcoininfonews.com/solana-crypto-faces-mixed-signals-near-key-levels-traders-stay-divided/,https://bitcoininfonews.com/solana-crypto-mixed-signals-key-levels-traders-divided/,,,Promoted from manual review: full title-token match with current winner.,batch_1_internal_link_cleanup_and_404_mapping,0.756,1.000
https://bitcoininfonews.com/solana-launches-sdp-api-based-development-platform-for-institutions/,https://bitcoininfonews.com/solana-sdp-api-development-platform-institutions/,,,Promoted from manual review: full title-token match with current winner.,batch_1_internal_link_cleanup_and_404_mapping,0.767,1.000
https://bitcoininfonews.com/solana-price-nears-72-drop-from-ath-as-validator-count-shrinks/,https://bitcoininfonews.com/solana-price-72-percent-below-ath-validator-count-shrinks/,,,Promoted from manual review: full title-token match with current winner.,batch_1_internal_link_cleanup_and_404_mapping,0.734,1.000
https://bitcoininfonews.com/solana-price-nears-72-drop-from-ath-validator-count-shrinks/,https://bitcoininfonews.com/solana-price-72-percent-below-ath-validator-count-shrinks/,,,Promoted from manual review: full title-token match with current winner.,batch_1_internal_link_cleanup_and_404_mapping,0.738,1.000
https://bitcoininfonews.com/spartans-com-august-1-global-launch-flutter-bet365/,https://bitcoininfonews.com/spartans-com-counts-down-to-august-1-global-launch-as-flutter-posts-a-310m-net-loss-and-amp-bet365-sees-profit-fall-44/,,,Promoted from manual review: full title-token match with current winner.,batch_1_internal_link_cleanup_and_404_mapping,0.745,1.000
https://bitcoininfonews.com/spot-bitcoin-etfs-record-471-million-inflows-as-btc-holds-amid-volatility/,https://bitcoininfonews.com/spot-bitcoin-etfs-471-million-inflows-btc-volatility/,,,Promoted from manual review: full title-token match with current winner.,batch_1_internal_link_cleanup_and_404_mapping,0.748,1.000
https://bitcoininfonews.com/strategy-bitcoin-stockpile-nears-blackrock-etf-after-1b-buy/,https://bitcoininfonews.com/strategy-bitcoin-stockpile-nears-blackrock-etf-holdings-after-1-billion-btc-buy/,,,Promoted from manual review: full title-token match with current winner.,batch_1_internal_link_cleanup_and_404_mapping,0.800,1.000
https://bitcoininfonews.com/strategy-ends-13-week-btc-buying-streak-as-mstr-stock-jumps-6/,https://bitcoininfonews.com/strategy-breaks-13-week-btc-buying-streak-why-mstr-stock-bounced-6/,,,Promoted from manual review: full title-token match with current winner.,batch_1_internal_link_cleanup_and_404_mapping,0.769,1.000
https://bitcoininfonews.com/strive-surpasses-cleanspark-bitcoin-treasury-rankings-317-btc/,https://bitcoininfonews.com/strive-surpasses-cleanspark-bitcoin-treasury-rankings/,,,Promoted from manual review: full title-token match with current winner.,batch_1_internal_link_cleanup_and_404_mapping,0.786,1.000
https://bitcoininfonews.com/strive-tuttle-file-leveraged-bitcoin-etf-what-it-means/,https://bitcoininfonews.com/strive-tuttle-file-leveraged-bitcoin-etf/,,,Promoted from manual review: full title-token match with current winner.,batch_1_internal_link_cleanup_and_404_mapping,0.770,1.000
https://bitcoininfonews.com/the-5x-liquidity-gap-why-stablecoin-reserve-distribution-matters-for-crypto-traders/,https://bitcoininfonews.com/5x-liquidity-gap-stablecoin-reserve-distribution-crypto-traders/,,,Promoted from manual review: full title-token match with current winner.,batch_1_internal_link_cleanup_and_404_mapping,0.813,1.000
https://bitcoininfonews.com/thena-downtrend-exploit-denial-apr-boost/,https://bitcoininfonews.com/thena-downtrend-exploit-denial-apr-increase/,,,Promoted from manual review: full title-token match with current winner.,batch_1_internal_link_cleanup_and_404_mapping,0.804,1.000
https://bitcoininfonews.com/tom-lee-predicted-crypto-winter-end-april/,https://bitcoininfonews.com/tom-lee-crypto-winter-end-april-prediction/,,,Promoted from manual review: full title-token match with current winner.,batch_1_internal_link_cleanup_and_404_mapping,0.803,1.000
https://bitcoininfonews.com/tron-founder-justin-sun-transfers-five-altcoins-to-htx-exchange-details/,https://bitcoininfonews.com/justin-sun-transfers-five-altcoins-to-htx-exchange/,,,Promoted from manual review: full title-token match with current winner.,batch_1_internal_link_cleanup_and_404_mapping,0.725,1.000
https://bitcoininfonews.com/trump-exempts-jones-act-oil-prices/,https://bitcoininfonews.com/trump-jones-act-exemption-oil-prices/,,,Promoted from manual review: full title-token match with current winner.,batch_1_internal_link_cleanup_and_404_mapping,0.780,1.000
https://bitcoininfonews.com/trump-white-house-shrugs-off-stablecoin-yield-in-clarity-act-standoff/,https://bitcoininfonews.com/trump-white-house-dismisses-stablecoin-yield-headache-clarity-act-standoff/,,,Promoted from manual review: full title-token match with current winner.,batch_1_internal_link_cleanup_and_404_mapping,0.765,1.000
https://bitcoininfonews.com/update-polymarket-acquires-brahma-to-boost-defi-infrastructure-and-trading-performance/,https://bitcoininfonews.com/polymarket-acquires-brahma-defi-infrastructure-trading-performance/,,,Promoted from manual review: full title-token match with current winner.,batch_1_internal_link_cleanup_and_404_mapping,0.796,1.000
https://bitcoininfonews.com/us-debt-crisis-and-government-insider-trading-the-case-for-bitcoin-as-the-only-exit/,https://bitcoininfonews.com/us-debt-crisis-government-insider-trading-bitcoin-exit/,,,Promoted from manual review: full title-token match with current winner.,batch_1_internal_link_cleanup_and_404_mapping,0.798,1.000
