cluster,url,slug,post_id,title,status,location,redirect_by,reason
BTFD,https://bitcoininfonews.com/2k-to-120k-top-new-meme-coins-to-buy-and-hold-for-short-term-snag-btfd-at-0-0002-with-2x-bonus-while-shib-and-ai16z-cool-off/,2k-to-120k-top-new-meme-coins-to-buy-and-hold-for-short-term-snag-btfd-at-0-0002-with-2x-bonus-while-shib-and-ai16z-cool-off,11562,$2K to $120K? Top New Meme Coins to Buy and Hold for Short Term: Snag BTFD at $0.0002 with 2x Bonus While SHIB and AI16Z Cool Off,301,https://bitcoininfonews.com,Rank Math,Post was trashed for pruning; homepage redirect should be removed so URL can return 404.
BTFD,https://bitcoininfonews.com/3-top-new-meme-coins-to-join-today-btfds-final100-bonus-and-200-roi-window-closes-soon-shib-and-doge-already-booming/,3-top-new-meme-coins-to-join-today-btfds-final100-bonus-and-200-roi-window-closes-soon-shib-and-doge-already-booming,9365,3 Top New Meme Coins to Join Today: BTFD's FINAL100 Bonus and 200% ROI Window Closes Soon—SHIB and DOGE Already Booming!,301,https://bitcoininfonews.com,Rank Math,Post was trashed for pruning; homepage redirect should be removed so URL can return 404.
BTFD,https://bitcoininfonews.com/5-top-new-meme-coins-to-join-today-btfd-coin-set-to-launch-may-27-heres-why-shib-mog-and-others-are-trending-too/,5-top-new-meme-coins-to-join-today-btfd-coin-set-to-launch-may-27-heres-why-shib-mog-and-others-are-trending-too,8815,"﻿5 Top New Meme Coins to Join Today: BTFD Coin Set to Launch May 27—Here’s Why SHIB, MOG, and Others Are Trending Too",301,https://bitcoininfonews.com,Rank Math,Post was trashed for pruning; homepage redirect should be removed so URL can return 404.
BTFD,https://bitcoininfonews.com/65m-coins-for-6-5k-btfds-final100-bonus-is-unmissable-best-new-meme-coins-to-join-this-month-amid-pengus-comeback-and-spx-dips/,65m-coins-for-6-5k-btfds-final100-bonus-is-unmissable-best-new-meme-coins-to-join-this-month-amid-pengus-comeback-and-spx-dips,9576,65M Coins for $6.5K? BTFD’s FINAL100 Bonus is Unmissable—Best New Meme Coins to Join This Month Amid PENGU’s Comeback and SPX Dips,301,https://bitcoininfonews.com,Rank Math,Post was trashed for pruning; homepage redirect should be removed so URL can return 404.
BTFD,https://bitcoininfonews.com/best-new-meme-coins-for-significant-returns-btfd-cheems-sudeng-updates/,best-new-meme-coins-for-significant-returns-btfd-cheems-sudeng-updates,11141,"Best New Meme Coins for Significant Returns: BTFD, Cheems, Sudeng Updates",301,https://bitcoininfonews.com,Rank Math,Post was trashed for pruning; homepage redirect should be removed so URL can return 404.
BTFD,https://bitcoininfonews.com/best-new-meme-coins-for-significant-returns-btfd-coin-doge-and-shib-updates/,best-new-meme-coins-for-significant-returns-btfd-coin-doge-and-shib-updates,15097,"Best New Meme Coins for Significant Returns: BTFD Coin, DOGE, and SHIB Updates",301,https://bitcoininfonews.com,Rank Math,Post was trashed for pruning; homepage redirect should be removed so URL can return 404.
BTFD,https://bitcoininfonews.com/btfd-coin-btfd-is-the-best-new-meme-coin-to-join-today-and-its-about-to-explode/,btfd-coin-btfd-is-the-best-new-meme-coin-to-join-today-and-its-about-to-explode,12486,BTFD Coin (BTFD) is the Best New Meme Coin to Join Today—And It’s About to Explode,301,https://bitcoininfonews.com,Rank Math,Post was trashed for pruning; homepage redirect should be removed so URL can return 404.
BTFD,https://bitcoininfonews.com/btfd-hits-11900-holders-final-call-for-2x-coins-top-new-meme-coins-to-buy-this-week-as-fartcoin-spikes-and-memecoin-struggles/,btfd-hits-11900-holders-final-call-for-2x-coins-top-new-meme-coins-to-buy-this-week-as-fartcoin-spikes-and-memecoin-struggles,10946,"BTFD Hits 11,900+ Holders—Final Call for 2x Coins: Top New Meme Coins to Buy This Week as Fartcoin Spikes and Memecoin Struggles!",301,https://bitcoininfonews.com,Rank Math,Post was trashed for pruning; homepage redirect should be removed so URL can return 404.
BTFD,https://bitcoininfonews.com/btfd-slerf-and-simons-cat-top-new-meme-coins-to-join-today/,btfd-slerf-and-simons-cat-top-new-meme-coins-to-join-today,10734,"BTFD, SLERF, and Simon’s Cat: Top New Meme Coins to Join Today",301,https://bitcoininfonews.com,Rank Math,Post was trashed for pruning; homepage redirect should be removed so URL can return 404.
BTFD,https://bitcoininfonews.com/is-8900-roi-really-possible-btfd-cheems-sudeng-best-new-meme-coins-for-significant-returns/,is-8900-roi-really-possible-btfd-cheems-sudeng-best-new-meme-coins-for-significant-returns,12323,"Is 8900% ROI Really Possible? BTFD, CHEEMS, SUDENG—Best New Meme Coins for Significant Returns",301,https://bitcoininfonews.com,Rank Math,Post was trashed for pruning; homepage redirect should be removed so URL can return 404.
