id,cluster,url,slug,source,old_destination,new_destination,type,status,reason
334,BTFD,https://bitcoininfonews.com/2k-to-120k-top-new-meme-coins-to-buy-and-hold-for-short-term-snag-btfd-at-0-0002-with-2x-bonus-while-shib-and-ai16z-cool-off/,2k-to-120k-top-new-meme-coins-to-buy-and-hold-for-short-term-snag-btfd-at-0-0002-with-2x-bonus-while-shib-and-ai16z-cool-off,2k-to-120k-top-new-meme-coins-to-buy-and-hold-for-short-term-snag-btfd-at-0-0002-with-2x-bonus-while-shib-and-ai16z-cool-off/,https://bitcoininfonews.com/DELETE,DELETE,301,active,Delete mistaken Rank Math rule that was created from prior no-id DELETE import.
335,BTFD,https://bitcoininfonews.com/3-top-new-meme-coins-to-join-today-btfds-final100-bonus-and-200-roi-window-closes-soon-shib-and-doge-already-booming/,3-top-new-meme-coins-to-join-today-btfds-final100-bonus-and-200-roi-window-closes-soon-shib-and-doge-already-booming,3-top-new-meme-coins-to-join-today-btfds-final100-bonus-and-200-roi-window-closes-soon-shib-and-doge-already-booming/,https://bitcoininfonews.com/DELETE,DELETE,301,active,Delete mistaken Rank Math rule that was created from prior no-id DELETE import.
336,BTFD,https://bitcoininfonews.com/5-top-new-meme-coins-to-join-today-btfd-coin-set-to-launch-may-27-heres-why-shib-mog-and-others-are-trending-too/,5-top-new-meme-coins-to-join-today-btfd-coin-set-to-launch-may-27-heres-why-shib-mog-and-others-are-trending-too,5-top-new-meme-coins-to-join-today-btfd-coin-set-to-launch-may-27-heres-why-shib-mog-and-others-are-trending-too/,https://bitcoininfonews.com/DELETE,DELETE,301,active,Delete mistaken Rank Math rule that was created from prior no-id DELETE import.
337,BTFD,https://bitcoininfonews.com/65m-coins-for-6-5k-btfds-final100-bonus-is-unmissable-best-new-meme-coins-to-join-this-month-amid-pengus-comeback-and-spx-dips/,65m-coins-for-6-5k-btfds-final100-bonus-is-unmissable-best-new-meme-coins-to-join-this-month-amid-pengus-comeback-and-spx-dips,65m-coins-for-6-5k-btfds-final100-bonus-is-unmissable-best-new-meme-coins-to-join-this-month-amid-pengus-comeback-and-spx-dips/,https://bitcoininfonews.com/DELETE,DELETE,301,active,Delete mistaken Rank Math rule that was created from prior no-id DELETE import.
338,BTFD,https://bitcoininfonews.com/best-new-meme-coins-for-significant-returns-btfd-cheems-sudeng-updates/,best-new-meme-coins-for-significant-returns-btfd-cheems-sudeng-updates,best-new-meme-coins-for-significant-returns-btfd-cheems-sudeng-updates/,https://bitcoininfonews.com/DELETE,DELETE,301,active,Delete mistaken Rank Math rule that was created from prior no-id DELETE import.
339,BTFD,https://bitcoininfonews.com/best-new-meme-coins-for-significant-returns-btfd-coin-doge-and-shib-updates/,best-new-meme-coins-for-significant-returns-btfd-coin-doge-and-shib-updates,best-new-meme-coins-for-significant-returns-btfd-coin-doge-and-shib-updates/,https://bitcoininfonews.com/DELETE,DELETE,301,active,Delete mistaken Rank Math rule that was created from prior no-id DELETE import.
340,BTFD,https://bitcoininfonews.com/btfd-coin-btfd-is-the-best-new-meme-coin-to-join-today-and-its-about-to-explode/,btfd-coin-btfd-is-the-best-new-meme-coin-to-join-today-and-its-about-to-explode,btfd-coin-btfd-is-the-best-new-meme-coin-to-join-today-and-its-about-to-explode/,https://bitcoininfonews.com/DELETE,DELETE,301,active,Delete mistaken Rank Math rule that was created from prior no-id DELETE import.
341,BTFD,https://bitcoininfonews.com/btfd-hits-11900-holders-final-call-for-2x-coins-top-new-meme-coins-to-buy-this-week-as-fartcoin-spikes-and-memecoin-struggles/,btfd-hits-11900-holders-final-call-for-2x-coins-top-new-meme-coins-to-buy-this-week-as-fartcoin-spikes-and-memecoin-struggles,btfd-hits-11900-holders-final-call-for-2x-coins-top-new-meme-coins-to-buy-this-week-as-fartcoin-spikes-and-memecoin-struggles/,https://bitcoininfonews.com/DELETE,DELETE,301,active,Delete mistaken Rank Math rule that was created from prior no-id DELETE import.
342,BTFD,https://bitcoininfonews.com/btfd-slerf-and-simons-cat-top-new-meme-coins-to-join-today/,btfd-slerf-and-simons-cat-top-new-meme-coins-to-join-today,btfd-slerf-and-simons-cat-top-new-meme-coins-to-join-today/,https://bitcoininfonews.com/DELETE,DELETE,301,active,Delete mistaken Rank Math rule that was created from prior no-id DELETE import.
343,BTFD,https://bitcoininfonews.com/is-8900-roi-really-possible-btfd-cheems-sudeng-best-new-meme-coins-for-significant-returns/,is-8900-roi-really-possible-btfd-cheems-sudeng-best-new-meme-coins-for-significant-returns,is-8900-roi-really-possible-btfd-cheems-sudeng-best-new-meme-coins-for-significant-returns/,https://bitcoininfonews.com/DELETE,DELETE,301,active,Delete mistaken Rank Math rule that was created from prior no-id DELETE import.
