cluster,url,slug,title,matched_rule,gsc_clicks,gsc_impressions,lookup_status,lookup_result,lookup_note,post_id,post_status,post_date,post_link,trash_status,trash_result,trash_note
BTFD,https://bitcoininfonews.com/2900-roi-2x-offer-btfd-coin-is-the-best-crypto-to-buy-now-presale-ends-may-26-as-floki-and-ponke-go-parabolic/,2900-roi-2x-offer-btfd-coin-is-the-best-crypto-to-buy-now-presale-ends-may-26-as-floki-and-ponke-go-parabolic,2900% ROI? 2X Offer? BTFD Coin Is the Best Crypto to Buy NOW (Presale Ends May 26) as Floki and Ponke Go Parabolic,brand_btfd|phrase_presale|phrase_buy_now|phrase_roi|phrase_bonus,0,0,200,found,,9370,publish,2025-04-24T09:45:00,https://bitcoininfonews.com/2900-roi-2x-offer-btfd-coin-is-the-best-crypto-to-buy-now-presale-ends-may-26-as-floki-and-ponke-go-parabolic/,200,trashed,trash
BTFD,https://bitcoininfonews.com/2k-to-120k-top-new-meme-coins-to-buy-and-hold-for-short-term-snag-btfd-at-0-0002-with-2x-bonus-while-shib-and-ai16z-cool-off/,2k-to-120k-top-new-meme-coins-to-buy-and-hold-for-short-term-snag-btfd-at-0-0002-with-2x-bonus-while-shib-and-ai16z-cool-off,$2K to $120K? Top New Meme Coins to Buy and Hold for Short Term: Snag BTFD at $0.0002 with 2x Bonus While SHIB and AI16Z Cool Off,brand_btfd|phrase_bonus,0,0,200,found,,11562,publish,2025-05-04T22:30:00,https://bitcoininfonews.com/2k-to-120k-top-new-meme-coins-to-buy-and-hold-for-short-term-snag-btfd-at-0-0002-with-2x-bonus-while-shib-and-ai16z-cool-off/,200,trashed,trash
BTFD,https://bitcoininfonews.com/3-top-new-meme-coins-to-join-today-btfds-final100-bonus-and-200-roi-window-closes-soon-shib-and-doge-already-booming/,3-top-new-meme-coins-to-join-today-btfds-final100-bonus-and-200-roi-window-closes-soon-shib-and-doge-already-booming,3 Top New Meme Coins to Join Today: BTFD's FINAL100 Bonus and 200% ROI Window Closes Soon—SHIB and DOGE Already Booming!,brand_btfd|phrase_roi|phrase_bonus,0,0,200,found,,9365,publish,2025-04-24T02:30:00,https://bitcoininfonews.com/3-top-new-meme-coins-to-join-today-btfds-final100-bonus-and-200-roi-window-closes-soon-shib-and-doge-already-booming/,200,trashed,trash
BTFD,https://bitcoininfonews.com/5-top-new-meme-coins-to-join-today-btfd-coin-set-to-launch-may-27-heres-why-shib-mog-and-others-are-trending-too/,5-top-new-meme-coins-to-join-today-btfd-coin-set-to-launch-may-27-heres-why-shib-mog-and-others-are-trending-too,"﻿5 Top New Meme Coins to Join Today: BTFD Coin Set to Launch May 27—Here’s Why SHIB, MOG, and Others Are Trending Too",brand_btfd,0,0,200,found,,8815,publish,2025-04-21T18:45:00,https://bitcoininfonews.com/5-top-new-meme-coins-to-join-today-btfd-coin-set-to-launch-may-27-heres-why-shib-mog-and-others-are-trending-too/,200,trashed,trash
BTFD,https://bitcoininfonews.com/65m-coins-for-6-5k-btfds-final100-bonus-is-unmissable-best-new-meme-coins-to-join-this-month-amid-pengus-comeback-and-spx-dips/,65m-coins-for-6-5k-btfds-final100-bonus-is-unmissable-best-new-meme-coins-to-join-this-month-amid-pengus-comeback-and-spx-dips,65M Coins for $6.5K? BTFD’s FINAL100 Bonus is Unmissable—Best New Meme Coins to Join This Month Amid PENGU’s Comeback and SPX Dips,brand_btfd|phrase_bonus,0,0,200,found,,9576,publish,2025-04-25T02:30:00,https://bitcoininfonews.com/65m-coins-for-6-5k-btfds-final100-bonus-is-unmissable-best-new-meme-coins-to-join-this-month-amid-pengus-comeback-and-spx-dips/,200,trashed,trash
BTFD,https://bitcoininfonews.com/8k-in-btfd-could-turn-into-720k-as-one-of-the-top-new-meme-coins-to-invest-in-this-month-shib-and-chillguy-trend/,8k-in-btfd-could-turn-into-720k-as-one-of-the-top-new-meme-coins-to-invest-in-this-month-shib-and-chillguy-trend,$8K in BTFD Could Turn Into $720K as One of the Top New Meme Coins to Invest in This Month—SHIB and CHILLGUY Trend,brand_btfd,0,0,200,found,,12131,publish,2025-05-08T06:45:00,https://bitcoininfonews.com/8k-in-btfd-could-turn-into-720k-as-one-of-the-top-new-meme-coins-to-invest-in-this-month-shib-and-chillguy-trend/,200,trashed,trash
BTFD,https://bitcoininfonews.com/best-meme-coin-presale-to-buy-this-week-btfd-is-going-hyperdrive-with-120x-bets-floki-and-pepe-are-on-the-rise/,best-meme-coin-presale-to-buy-this-week-btfd-is-going-hyperdrive-with-120x-bets-floki-and-pepe-are-on-the-rise,Best Meme Coin Presale to Buy This Week? BTFD Is Going Hyperdrive With 120X Bets—Floki and Pepe Are on the Rise,brand_btfd|phrase_presale,0,0,200,found,,14935,publish,2025-05-25T14:45:00,https://bitcoininfonews.com/best-meme-coin-presale-to-buy-this-week-btfd-is-going-hyperdrive-with-120x-bets-floki-and-pepe-are-on-the-rise/,200,trashed,trash
BTFD,https://bitcoininfonews.com/best-new-meme-coins-for-significant-returns-btfd-cheems-sudeng-updates/,best-new-meme-coins-for-significant-returns-btfd-cheems-sudeng-updates,"Best New Meme Coins for Significant Returns: BTFD, Cheems, Sudeng Updates",brand_btfd,0,0,200,found,,11141,publish,2025-05-03T03:30:00,https://bitcoininfonews.com/best-new-meme-coins-for-significant-returns-btfd-cheems-sudeng-updates/,200,trashed,trash
BTFD,https://bitcoininfonews.com/best-new-meme-coins-for-significant-returns-btfd-coin-doge-and-shib-updates/,best-new-meme-coins-for-significant-returns-btfd-coin-doge-and-shib-updates,"Best New Meme Coins for Significant Returns: BTFD Coin, DOGE, and SHIB Updates",brand_btfd,0,0,200,found,,15097,publish,2025-05-26T05:45:00,https://bitcoininfonews.com/best-new-meme-coins-for-significant-returns-btfd-coin-doge-and-shib-updates/,200,trashed,trash
BTFD,https://bitcoininfonews.com/btfd-coin-btfd-is-the-best-new-meme-coin-to-join-today-and-its-about-to-explode/,btfd-coin-btfd-is-the-best-new-meme-coin-to-join-today-and-its-about-to-explode,BTFD Coin (BTFD) is the Best New Meme Coin to Join Today—And It’s About to Explode,brand_btfd,0,0,200,found,,12486,publish,2025-05-09T21:45:00,https://bitcoininfonews.com/btfd-coin-btfd-is-the-best-new-meme-coin-to-join-today-and-its-about-to-explode/,200,trashed,trash
