source,destination,matching,type,status
250m-asset-manager-on-morgan-stanley-bitcoin-etf-impact/,https://bitcoininfonews.com/exclusive-250m-asset-manager-morgan-stanley-bitcoin-etf-impact/,exact,301,active
341m-crypto-liquidations-hit-shorts-in-24-hours/,https://bitcoininfonews.com/341m-crypto-liquidations-shorts-24-hours/,exact,301,active
aave-stablecoin-yields-beat-banks-trail-the-fed/,https://bitcoininfonews.com/aave-stablecoin-yields-beat-banks-trail-fed/,exact,301,active
best-crypto-casinos-of-2026-spartans-stake-bitcasino-io-rollbit-redefine-online-gambling/,https://bitcoininfonews.com/best-crypto-casinos-of-2026-spartans-stake-bitcasino-io-and-amp-rollbit-redefine-online-gambling/,exact,301,active
bitcoin-70k-ethereum-buy-zone-sec-crypto-framework-weekend-roundup/,https://bitcoininfonews.com/bitcoin-70000-ethereum-buy-zone-sec-crypto-framework-weekend-roundup/,exact,301,active
bitcoin-etf-inflows-march/,https://bitcoininfonews.com/bitcoin-eth-sol-etf-inflows-march/,exact,301,active
bitcoin-etf-multiplier-effect-cory-klippsten-btc/,https://bitcoininfonews.com/bitcoin-etf-multiplier-effect-cory-klippsten/,exact,301,active
bitcoin-etf-outflows-risk-assets-sell-off/,https://bitcoininfonews.com/bitcoin-etf-outflows-us-stock-etfs-risk-assets-sell-off/,exact,301,active
bitcoin-falls-below-69000-down-1-27-on-the-day/,https://bitcoininfonews.com/bitcoin-falls-below-69000-down-1-27-percent/,exact,301,active
bitcoin-up-6-percent-75000-ether-xrp-rally/,https://bitcoininfonews.com/why-bitcoin-suddenly-up-6-percent-75000-ether-xrp-rally/,exact,301,active
bitmax-denies-selling-bitcoin-overseas-transfers-security-measure/,https://bitcoininfonews.com/bitmax-denies-selling-bitcoin-overseas-exchange-transfers-security/,exact,301,active
blackrock-deposits-47728-eth-and-544-btc-into-coinbase-prime/,https://bitcoininfonews.com/blackrock-deposits-47728-eth-544-btc-coinbase-prime/,exact,301,active
blackrock-deposits-eth-btc-coinbase-prime/,https://bitcoininfonews.com/blackrock-deposits-47728-eth-544-btc-coinbase-prime/,exact,301,active
blockdag-trademay30-code-cardano-crypto-stability-hyperliquid-coin-trend/,https://bitcoininfonews.com/blockdag-drops-trademay30-code-for-early-supporters-more-updates-on-cardano-crypto-stability-hyperliquid-coin-trend/,exact,301,active
buyers-rush-to-secure-blockdag-at-0-0000061-while-hyperliquid-battles-35-floor-monero-eyes-upside/,https://bitcoininfonews.com/buyers-rush-to-secure-blockdag-at-0-0000061-while-hyperliquid-battles-35-floor-and-monero-eyes-upside/,exact,301,active
bydfi-expands-european-reach-next-block-expo-2026-warsaw/,https://bitcoininfonews.com/bydfi-expands-european-reach-with-next-block-expo-2026-sponsorship-in-warsaw/,exact,301,active
bydfis-expands-european-reach-with-next-block-expo-2026-sponsorship-in-warsaw/,https://bitcoininfonews.com/bydfi-expands-european-reach-with-next-block-expo-2026-sponsorship-in-warsaw/,exact,301,active
citibank-hong-kong-stablecoin-market-hk124-8-billion/,https://bitcoininfonews.com/citibank-hong-kong-stablecoin-market-hk124-billion/,exact,301,active
crypto-first-quarter-profit-squeeze-warning-coinbase-robinhood-figure/,https://bitcoininfonews.com/crypto-first-quarter-profit-squeeze-bernstein-coinbase-robinhood-figure/,exact,301,active
drift-protocol-exploit-285m-stolen-solana/,https://bitcoininfonews.com/drift-protocol-exploit-solana-285m-stolen/,exact,301,active
drift-protocol-exploit-sees-285m-stolen-on-solana/,https://bitcoininfonews.com/drift-protocol-exploit-solana-285m-stolen/,exact,301,active
drift-protocol-hack-sparks-iou-airdrop-backlash/,https://bitcoininfonews.com/drift-protocol-hack-iou-airdrop-backlash/,exact,301,active
ethereum-crypto-early-strength-over-bitcoin-q2-shift-momentum/,https://bitcoininfonews.com/ethereum-crypto-shows-early-strength-over-bitcoin-why-q2-could-shift-momentum/,exact,301,active
ethereum-spot-etf-55-million-net-outflow/,https://bitcoininfonews.com/ethereum-spot-etf-net-outflow-55-million/,exact,301,active
exclusive-250m-asset-manager-on-morgan-stanley-bitcoin-etf-impact/,https://bitcoininfonews.com/exclusive-250m-asset-manager-morgan-stanley-bitcoin-etf-impact/,exact,301,active
fed-chair-nominee-kevin-warsh-has-crypto-exposure-in-portfolio/,https://bitcoininfonews.com/fed-chair-nominee-kevin-warsh-crypto-exposure-portfolio/,exact,301,active
forget-xrp-forecasts-delusional-crowd-last-laugh/,https://bitcoininfonews.com/forget-xrp-forecasts-delusional-crowd-could-have-last-laugh/,exact,301,active
forget-xrp-forecasts-why-the-delusional-crowd-could-have-the-last-laugh/,https://bitcoininfonews.com/forget-xrp-forecasts-delusional-crowd-could-have-last-laugh/,exact,301,active
ftc-us-citizens-lose-3-5b-to-imposter-scams-in-one-year/,https://bitcoininfonews.com/ftc-us-citizens-residents-lose-3-5-billion-imposter-scams-one-year/,exact,301,active
i-switched-from-bank-app-to-binance-main-wallet/,https://bitcoininfonews.com/switched-bank-app-to-binance-main-wallet/,exact,301,active
interactive-brokers-crypto-trading-expands-to-europe/,https://bitcoininfonews.com/interactive-brokers-crypto-trading-europe/,exact,301,active
jpmorgan-bitcoin-outperformed-gold-during-iran-war-acting-as-safe-haven-asset/,https://bitcoininfonews.com/jpmorgan-bitcoin-outperformed-gold-iran-war-safe-haven-asset/,exact,301,active
justin-sun-slams-trump-backed-wlfi-after-75m-defi-loan/,https://bitcoininfonews.com/justin-sun-slams-trump-backed-wlfi-after-75-million-defi-loan/,exact,301,active
lido-responds-resolv-labs-vulnerability-attack-user-funds-safe/,https://bitcoininfonews.com/lido-responds-resolv-labs-vulnerability-user-funds-safe/,exact,301,active
lucky-independent-bitcoin-miner-nets-210000-btc-reward/,https://bitcoininfonews.com/lucky-independent-bitcoin-miner-210000-btc-reward/,exact,301,active
major-update-approved-surprise-altcoin-changes-coming/,https://bitcoininfonews.com/major-update-approved-surprise-altcoin-changes/,exact,301,active
morgan-stanley-bitcoin-etf-draws-34m-on-day-one-as-fee-pressure-mounts/,https://bitcoininfonews.com/morgan-stanley-bitcoin-etf-draws-34m-day-one-fee-pressure-builds/,exact,301,active
morgan-stanley-bitcoin-etf-launches-wednesday/,https://bitcoininfonews.com/morgan-stanley-bitcoin-etf-launch-wednesday/,exact,301,active
morgan-stanley-bitcoin-etf-posts-top-1-debut/,https://bitcoininfonews.com/morgan-stanley-bitcoin-etf-top-1-debut/,exact,301,active
morgan-stanley-bitcoin-fund-tops-wisdomtree-volume/,https://bitcoininfonews.com/morgan-stanley-bitcoin-fund-wisdomtree-volume/,exact,301,active
next-altcoin-to-10x-is-it-hype-link-ondo-or-avax/,https://bitcoininfonews.com/next-altcoin-to-10x-hype-link-ondo-avax/,exact,301,active
nyse-cpo-blockchain-integrate-existing-systems/,https://bitcoininfonews.com/nyse-cpo-blockchain-integration-existing-systems/,exact,301,active
