id,source,matching,destination,type,category,status,ignore
,bitcoin-bottom-analyst-warns-slide-40000/,exact,https://bitcoininfonews.com/bitcoin-bottom-not-in-analyst-warns-40000-zone/,301,,active,
,bitcoin-breaks-71000-btc-posts-162-daily-gain/,exact,https://bitcoininfonews.com/bitcoin-breaks-71000-btc-daily-gain/,301,,active,
,bitcoin-falls-below-69000-down-on-the-day/,exact,https://bitcoininfonews.com/bitcoin-falls-below-69000-down-1-27-percent/,301,,active,
,crypto-market-drops-for-second-day-btc-falls-below-71000-layer-2-tokens-plunge-6/,exact,https://bitcoininfonews.com/crypto-market-drops-second-day-btc-below-71000-layer-2-decline/,301,,active,
,gate-integrates-polymarket-1000-gt-incentive-program/,exact,https://bitcoininfonews.com/gate-polymarket-integration-1000-gt-incentive-program/,301,,active,
,sp500-perpetual-contract-launches-on-hyperliquid-in-first-official-license/,exact,https://bitcoininfonews.com/sp500-perpetual-contract-hyperliquid-official-license/,301,,active,
,the-wash-trading-bust-why-feds-are-calling-out-cryptos-fake-liquidity/,exact,https://bitcoininfonews.com/wash-trading-bust-feds-calling-out-crypto-fake-liquidity/,301,,active,
,traders-280-btc-long-40x-leverage-partially-liquidated/,exact,https://bitcoininfonews.com/trader-280-btc-40x-leverage-partially-liquidated/,301,,active,
,xrp-derivatives-market-shrinks-78-percent/,exact,https://bitcoininfonews.com/xrp-derivatives-market-shrinks-by-78-from-octobers-peak/,301,,active,
,xrp-etf-sec-review-8-billion-inflows/,exact,https://bitcoininfonews.com/xrp-etf-decision-sec-8-billion-inflows/,301,,active,
