id,source,matching,destination,type,category,status,ignore
,193-million-crypto-liquidations-24-hours-shorts-squeezed,exact,https://bitcoininfonews.com/193-million-crypto-liquidations-24-hours-short-positions/,301,,active,
,banque-syz-crypto-strategy-heir-departure/,exact,https://bitcoininfonews.com/banque-syz-crypto-family-feud-heir-departure/,301,,active,
,binance-adds-spot-pairs-to-altcoin-liquidity-program/,exact,https://bitcoininfonews.com/binance-spot-altcoin-liquidity-enhancement-program-new-pairs-april-2026/,301,,active,
,binance-alpha-airdrop-opens-today-240-points-minimum/,exact,https://bitcoininfonews.com/binance-alpha-airdrop-today-1800-240-points/,301,,active,
,bitcoin-depot-3-6m-hack-sparks-backlash-over-3-day-delay/,exact,https://bitcoininfonews.com/bitcoin-depot-3-6m-hack-three-day-delay-backlash/,301,,active,
,bitcoin-etf-outflows-accelerate-risk-assets-sell-off,exact,https://bitcoininfonews.com/bitcoin-etf-outflows-us-stock-etfs-risk-assets-sell-off/,301,,active,
,bitcoin-ethereum-options-1-97-billion-expire-today/,exact,https://bitcoininfonews.com/bitcoin-ethereum-options-expiry-1-97-billion/,301,,active,
,bitcoin-holds-70k-ethereum-buy-zone-sec-crypto-framework-weekend-crypto-roundup/,exact,https://bitcoininfonews.com/bitcoin-70000-ethereum-buy-zone-sec-crypto-framework-weekend-roundup/,301,,active,
,bitget-delist-blum-usdt-token,exact,https://bitcoininfonews.com/bitget-delist-blum-usdt/,301,,active,
,blackrock-ethereum-etf-surpasses-250m-aum-first-week/,exact,https://bitcoininfonews.com/blackrock-ethereum-etf-250-million-aum-first-week/,301,,active,
,boyaa-interactive-70-million-budget-cryptocurrency/,exact,https://bitcoininfonews.com/boyaa-interactive-70-million-cryptocurrency-acquisition/,301,,active,
,coldcard-mk5-bitcoin-wallet-why-it-is-so-hard-to-hack/,exact,https://bitcoininfonews.com/coldcard-mk5-bitcoin-wallet-hard-to-hack/,301,,active,
,crypto-first-quarter-profit-squeeze-warning-hits-coinbase-robinhood-figure/,exact,https://bitcoininfonews.com/crypto-first-quarter-profit-squeeze-bernstein-coinbase-robinhood-figure/,301,,active,
,ecb-defi-dao-governance-tokens-mica-exemptions/,exact,https://bitcoininfonews.com/ecb-paper-defi-dao-governance-tokens-mica-exemption/,301,,active,
,ethereum-spot-etf-55-7m-net-outflow/,exact,https://bitcoininfonews.com/ethereum-spot-etf-net-outflow-55-million/,301,,active,
,european-parliament-approves-eu-us-trade-agreement-crypto-market-impact/,exact,https://bitcoininfonews.com/european-parliament-approves-eu-us-trade-agreement/,301,,active,
,fed-governor-milan-rate-cuts-2026/,exact,https://bitcoininfonews.com/federal-reserve-governor-milan-four-rate-cuts-2026/,301,,active,
,fed-rate-cut-odds-vanishing-bitcoin/,exact,https://bitcoininfonews.com/fed-rate-cut-odds-bitcoin-crypto-markets/,301,,active,
,fed-rate-hike-odds-bank-of-america-conditions/,exact,https://bitcoininfonews.com/fed-rate-hike-probability-2026-bank-of-america-three-conditions/,301,,active,
,fed-waller-rate-hikes-not-necessary-bitcoin/,exact,https://bitcoininfonews.com/fed-governor-waller-interest-rate-hike-not-necessary-bitcoin/,301,,active,
,fluid-suspends-usr-marketplace-compensation/,exact,https://bitcoininfonews.com/fluid-usr-marketplace-suspended-compensation/,301,,active,
,kb-card-avalanche-hybrid-stablecoin-credit-card-payments/,exact,https://bitcoininfonews.com/kb-card-south-korea-avalanche-hybrid-stablecoin-credit-card-payment-system/,301,,active,
,kevin-warsh-fed-chair-nomination-crypto/,exact,https://bitcoininfonews.com/kevin-warsh-fed-chair-nomination-stalled/,301,,active,
