id,source,matching,destination,type,category,status,ignore
,2k-to-120k-top-new-meme-coins-to-buy-and-hold-for-short-term-snag-btfd-at-0-0002-with-2x-bonus-while-shib-and-ai16z-cool-off/,exact,DELETE,301,,active,
,3-top-new-meme-coins-to-join-today-btfds-final100-bonus-and-200-roi-window-closes-soon-shib-and-doge-already-booming/,exact,DELETE,301,,active,
,5-top-new-meme-coins-to-join-today-btfd-coin-set-to-launch-may-27-heres-why-shib-mog-and-others-are-trending-too/,exact,DELETE,301,,active,
,65m-coins-for-6-5k-btfds-final100-bonus-is-unmissable-best-new-meme-coins-to-join-this-month-amid-pengus-comeback-and-spx-dips/,exact,DELETE,301,,active,
,best-new-meme-coins-for-significant-returns-btfd-cheems-sudeng-updates/,exact,DELETE,301,,active,
,best-new-meme-coins-for-significant-returns-btfd-coin-doge-and-shib-updates/,exact,DELETE,301,,active,
,btfd-coin-btfd-is-the-best-new-meme-coin-to-join-today-and-its-about-to-explode/,exact,DELETE,301,,active,
,btfd-hits-11900-holders-final-call-for-2x-coins-top-new-meme-coins-to-buy-this-week-as-fartcoin-spikes-and-memecoin-struggles/,exact,DELETE,301,,active,
,btfd-slerf-and-simons-cat-top-new-meme-coins-to-join-today/,exact,DELETE,301,,active,
,is-8900-roi-really-possible-btfd-cheems-sudeng-best-new-meme-coins-for-significant-returns/,exact,DELETE,301,,active,
,missed-peanut-the-squirrels-early-run-btfd-coins-final200-bonus-and-0-0002-presale-offer-12000-bulls-a-shot-at-900k-from-10k/,exact,DELETE,301,,active,
,missed-wif-when-it-was-dirt-cheap-btfd-coins-final-presale-window-closes-may-26-get-in-now-at-0-0002-for-a-shot-at-2900-roi-post-launch/,exact,DELETE,301,,active,
,moodengs-moon-is-history-but-btfd-at-0-0002-is-still-the-best-new-meme-coin-to-join-for-short-term-with-limited-100-bonus/,exact,DELETE,301,,active,
,no-do-overs-after-may-26-btfds-presale-exit-nears-with-mew-goat-and-more-lining-up-among-the-4-best-meme-coins-to-invest-in-now/,exact,DELETE,301,,active,
,official-trumps-75-ath-is-history-dont-miss-btfd-coins-8900-roi-potential-and-explosive-presale-before-may-26/,exact,DELETE,301,,active,
,presale-ends-soon-5-best-cryptos-to-buy-with-btfds-6-58m-surge-and-top-meme-coin-movers-floki-and-pnut/,exact,DELETE,301,,active,
,top-new-meme-coins-to-buy-and-hold-for-short-term-btfd-turbo-and-pengu-insights/,exact,DELETE,301,,active,
,top-new-meme-coins-to-buy-this-week-why-btfds-2x-tokens-deal-beats-waiting-for-giga-and-apu-moves-act-before-may-26/,exact,DELETE,301,,active,
,top-new-meme-coins-to-join-this-week-btfd-turbo-memecoin-updates/,exact,DELETE,301,,active,
,why-btfds-0-0002-presale-could-89x-fast-top-new-meme-coins-to-buy-and-hold-for-short-term-as-toshi-and-pengu-pump/,exact,DELETE,301,,active,
,2025s-biggest-presale-showdown-pepenode-vs-maxidoge-vs-blockdag/,exact,DELETE,301,,active,
,4-highest-roi-cryptos-in-2025-eth-bnb-blockdag-or-ada/,exact,DELETE,301,,active,
,4-top-crypto-gems-to-buy-now-eth-blockdag-sol-ada/,exact,DELETE,301,,active,
,4-top-presale-crypto-picks-for-2025-blockdag-maxi-doge-snorter-bot-spacepay/,exact,DELETE,301,,active,
,aave-slows-litecoin-steady-blockdag-turns-435m-presale-hot/,exact,DELETE,301,,active,
,aave-struggles-at-329-shib-trading-jumps-blockdag-delivers-2900-roi/,exact,DELETE,301,,active,
,ada-and-sol-slow-down-while-blockdag-dominates-with-388m-presale/,exact,DELETE,301,,active,
,ada-bullish-setup-dot-climbs-higher-bdags-375m-presale-signals-momentum/,exact,DELETE,301,,active,
,ada-rallies-aave-jumps-blockdag-buyer-battles-fuel-342m-presale/,exact,DELETE,301,,active,
,algorand-bullish-run-and-xrps-market-moves-contrast-with-blockdags-379m-presale/,exact,DELETE,301,,active,
,alphapepes-120k-meme-buzz-vs-blockdags-almost-410m-presale/,exact,DELETE,301,,active,
,apt-expands-dev-base-avax-scales-upgrades-blockdag-crosses-410m-in-presale/,exact,DELETE,301,,active,
,arb-holds-0-30-ada-eyes-1-while-blockdags-0-0015-entry-massive-roi-are-crowned-best-performing-crypto-today/,exact,DELETE,301,,active,
,aster-bnb-momentum-blockdags-420m-presale-surge/,exact,DELETE,301,,active,
,avalanche-avax-price-forecast-vechain-vet-price-prediction-and-blockdags-386m-presale-momentum/,exact,DELETE,301,,active,
,avax-eyes-26-sol-shows-strength-blockdags-presale-booms-past-332m/,exact,DELETE,301,,active,
,avax-eyes-30-doge-holds-steady-blockdag-achieves-223m-presale-2520-roi/,exact,DELETE,301,,active,
,avax-ondo-surge-while-blockdags-433m-green-pow-presale-dominates-top-crypto-to-buy-conversations/,exact,DELETE,301,,active,
,bch-rebounds-to-580-bnb-eyes-1400-but-blockdags-430m-presale-explodes-as-tge-code-fuels-demand/,exact,DELETE,301,,active,
,bdag-eye-3025-roi-pepe-price-analysis-tao-rises/,exact,DELETE,301,,active,
,bdag-leads-best-crypto-to-buy-today-surpassing-trx-wld/,exact,DELETE,301,,active,
,bdag-referral-program-gains-ground-as-bnb-price-prediction-xlm-show-strength/,exact,DELETE,301,,active,
,bdag-surges-to-336m-leaving-kaanchs-post-presale-stumble-in-the-dust/,exact,DELETE,301,,active,
,bdags-430m-presale-binance-ama-steal-ada-doge-spotlight/,exact,DELETE,301,,active,
,bdags-presale-grows-eth-etf-inflows-rise-sol-targets-1k/,exact,DELETE,301,,active,
,best-altcoins-to-buy-now-bdag-sui-xrp-bonk-gaining-buzz/,exact,DELETE,301,,active,
,best-altcoins-to-buy-now-blockdag-ada-hype-eth-steal-the-spotlight/,exact,DELETE,301,,active,
,best-altcoins-to-buy-now-blockdag-ethereum-chainlink-cardano-set-the-stage-for-explosive-growth/,exact,DELETE,301,,active,
,best-crypto-coin-to-buy-now-blockdag-chainlink-stellar-tron-compared/,exact,DELETE,301,,active,
,best-crypto-investment-for-2025-blockdag-presale-beats-avalanche-litecoin-xrp/,exact,DELETE,301,,active,
,best-crypto-presale-2025-blockdag-bitcoin-hyper-little-pepe-remittix-backed-by-real-tech/,exact,DELETE,301,,active,
,best-crypto-presale-2025-why-blockdag-tops-the-list-over-sol-trx-and-sei/,exact,DELETE,301,,active,
,best-crypto-presale-projects-2025-blockdag-hyper-best-layer-brett/,exact,DELETE,301,,active,
,best-crypto-presales-to-buy-blockdag-surges-ahead-as-the-top-crypto-to-invest-in/,exact,DELETE,301,,active,
,best-crypto-to-buy-for-2025-blockdag-filecoin-vet-link/,exact,DELETE,301,,active,
,best-crypto-to-buy-in-2025-blockdag-ethereum-cardano-solana/,exact,DELETE,301,,active,
,best-crypto-to-buy-now-blockdag-dogecoin-pepe-shiba-inu-show-strong-momentum/,exact,DELETE,301,,active,
,best-crypto-to-buy-now-blockdag-vs-xrp-pepe-price-action/,exact,DELETE,301,,active,
,best-crypto-to-buy-now-blockdags-no-vesting-pass-offers-100-launch-access/,exact,DELETE,301,,active,
,best-crypto-to-buy-now-why-aptos-hedera-ondo-blockdag-are-heating-up-in-2025/,exact,DELETE,301,,active,
,best-crypto-to-buy-right-now-blockdag-chainlink-aave-cardano/,exact,DELETE,301,,active,
,best-crypto-to-buy-today-blockdag-chainlink-stellar-cardano-lead/,exact,DELETE,301,,active,
,best-cryptos-to-buy-now-blockdag-doge-shib-pepe-surge-in-popularity/,exact,DELETE,301,,active,
,best-cryptos-to-buy-now-blockdag-ltc-ton-fil-updates-for-2025/,exact,DELETE,301,,active,
,best-high-roi-crypto-2025-blockdag-stellar-dogecoin-avalanche/,exact,DELETE,301,,active,
,best-long-term-cryptos-of-2025-blockdag-tao-rndr-near-price-predictions/,exact,DELETE,301,,active,
,best-long-term-cryptos-to-buy-now-bdag-xrp-doge-shib/,exact,DELETE,301,,active,
,best-presale-crypto-2025-blockdag-blockchainfx-snorter-little-pepe/,exact,DELETE,301,,active,
,best-presale-crypto-2025-comparing-blockdag-bitcoin-hyper-remittix-blockchainfx/,exact,DELETE,301,,active,
,best-presale-crypto-in-2025-blockdag-nears-600m-as-tapzi-blockchainfx-lag-behind/,exact,DELETE,301,,active,
,best-presale-crypto-to-buy-now-blockdags-415m-bwt-alpine-deal-tops-blockchainfx-and-ozak-ai/,exact,DELETE,301,,active,
,best-presale-cryptos-of-2025-blockdag-blockchainfx-based-eggman-more/,exact,DELETE,301,,active,
,bitcoin-hyper-surge-vs-blockdags-341m-presale-breakthrough/,exact,DELETE,301,,active,
,blockchainfx-presale-gains-steam-ozak-ai-climbs-while-blockdag-hits-374m/,exact,DELETE,301,,active,
,blockdag-0-0013-presale-surges-as-pepe-price-prediction-weakens-sei-struggles/,exact,DELETE,301,,active,
,blockdag-2025-mining-referrals-and-rewards-driving-roi/,exact,DELETE,301,,active,
,blockdag-3-025-roi-leads-as-fil-rallies-and-near-protocol-expands/,exact,DELETE,301,,active,
,blockdag-386m-presale-outshines-worldcoin-and-shiba-inu/,exact,DELETE,301,,active,
,blockdag-387m-presale-surpasses-pi-and-xrp-as-2025s-best-crypto-investment/,exact,DELETE,301,,active,
,blockdag-405m-presale-over-19800-miners-singapore-event-outshine-eth-sol/,exact,DELETE,301,,active,
,blockdag-414m-presale-tops-eth-bnb-price-moves/,exact,DELETE,301,,active,
,blockdag-433m-presale-limited-0-0015-price-entry-beat-bittensor-pepes-q4-price-movements/,exact,DELETE,301,,active,
,blockdag-bitcoin-hyper-snorter-blockchainfx-dominate-the-top-crypto-presales/,exact,DELETE,301,,active,
,blockdag-bwt-alpine-f1-deal-drives-420m-presale-momentum/,exact,DELETE,301,,active,
,blockdag-chainlink-avalanche-cardano-top-crypto-to-buy-now/,exact,DELETE,301,,active,
,blockdag-dashboard-v4-redefines-market-buzz-outshining-algorand-price-prediction-and-kaspa-price-outlook/,exact,DELETE,301,,active,
,blockdag-edges-toward-600m-presale-the-best-crypto-to-grab-before-its-gone/,exact,DELETE,301,,active,
,blockdag-ena-trx-market-update-best-crypto-to-buy-today/,exact,DELETE,301,,active,
,blockdag-f1-deal-415m-presale-lead-over-hbar-xrp-in-2025/,exact,DELETE,301,,active,
,blockdag-hits-260m-presale-as-uni-drops-hype-climbs-260/,exact,DELETE,301,,active,
,blockdag-hits-346m-presale-with-no-vesting-miner-boom/,exact,DELETE,301,,active,
,blockdag-hits-356m-in-presale-as-token6900-climbs-on-meme-appeal/,exact,DELETE,301,,active,
,blockdag-hits-386m-in-presale-outruns-avalanche-aptos/,exact,DELETE,301,,active,
,blockdag-hits-over-405m-presale-yet-0-0013-price-holds-strong/,exact,DELETE,301,,active,
,blockdag-hyperliquid-xrp-tron-best-crypto-to-buy-now-for-smart-2025-gains/,exact,DELETE,301,,active,
,blockdag-leads-as-best-crypto-to-buy-in-2025-vs-aave-doge/,exact,DELETE,301,,active,
,blockdag-leads-presale-over-little-pepe-pepenode-with-312k-holders/,exact,DELETE,301,,active,
,blockdag-leaks-show-435m-presale-and-exchange-deals/,exact,DELETE,301,,active,
,blockdag-nearly-400m-presale-avax-momentum-ondo-price-insights/,exact,DELETE,301,,active,
,blockdag-nears-410m-presale-as-eth-and-xrp-lose-strength/,exact,DELETE,301,,active,
,blockdag-presale-0-0013-lock-creates-urgent-advantage/,exact,DELETE,301,,active,
,blockdag-presale-0-0013-locked-price-as-best-crypto-entry/,exact,DELETE,301,,active,
,blockdag-presale-booms-as-hype-sui-prep-for-breakouts/,exact,DELETE,301,,active,
,blockdag-presale-could-deliver-30000x-roi-best-crypto-to-buy-in-2025/,exact,DELETE,301,,active,
,blockdag-presale-growth-shib-price-performance-sol-price-momentum-analysis/,exact,DELETE,301,,active,
,blockdag-presale-hits-323m-is-it-the-top-crypto-to-buy-in-2025/,exact,DELETE,301,,active,
,blockdag-presale-hits-403m-as-xrp-and-pepe-face-doubts/,exact,DELETE,301,,active,
,blockdag-presale-nears-420m-echoing-ethereum-kaspa/,exact,DELETE,301,,active,
,blockdag-presale-races-to-600m-top-crypto-to-buy-in-2025/,exact,DELETE,301,,active,
,blockdag-presale-surge-dogecoin-price-performance-injective-price-analysis/,exact,DELETE,301,,active,
,blockdag-raised-430m-in-presale-redefining-the-future-of-crypto/,exact,DELETE,301,,active,
,blockdag-raises-325m-in-presale-launches-100m-bdag-airdrop-campaign/,exact,DELETE,301,,active,
,blockdag-reaches-367m-top-crypto-presale-with-12499x-roi/,exact,DELETE,301,,active,
