id,source,matching,destination,type,category,status,ignore
"1","arizona-bitcoin-reserve-bill-veto-2/","exact","https://bitcoininfonews.com/arizona-bitcoin-reserve-bill-veto/","301","","active",""
"2","arthur-hayes-bitcoin-110k-prediction-2/","exact","https://bitcoininfonews.com/arthur-hayes-bitcoin-110k-prediction/","301","","active",""
"3","arthur-hayes-bitcoin-million-2028-2/","exact","https://bitcoininfonews.com/arthur-hayes-bitcoin-million-2028/","301","","active",""
"4","atticus-2-billion-valuation-funding-2/","exact","https://bitcoininfonews.com/atticus-2-billion-valuation-funding/","301","","active",""
"5","binance-kyrgyzstan-crypto-partnership-2/","exact","https://bitcoininfonews.com/binance-kyrgyzstan-crypto-partnership/","301","","active",""
"6","binance-usd1-stablecoin-integration-2/","exact","https://bitcoininfonews.com/binance-usd1-stablecoin-integration/","301","","active",""
"7","bitcoin-100k-short-liquidations-2/","exact","https://bitcoininfonews.com/bitcoin-100k-short-liquidations/","301","","active",""
"8","bitcoin-110k-institutional-buying-2/","exact","https://bitcoininfonews.com/bitcoin-110k-institutional-buying/","301","","active",""
"9","bitcoin-all-time-high-institutional-inflows-2/","exact","https://bitcoininfonews.com/bitcoin-all-time-high-institutional-inflows/","301","","active",""
"10","bitcoin-etf-record-inflows-market-2/","exact","https://bitcoininfonews.com/bitcoin-etf-record-inflows-market/","301","","active",""
"11","bitcoin-nears-all-time-high-3/","exact","https://bitcoininfonews.com/bitcoin-nears-all-time-high/","301","","active",""
"11","bitcoin-nears-all-time-high-2/","exact","https://bitcoininfonews.com/bitcoin-nears-all-time-high/","301","","active",""
"12","bitcoin-outperforming-gold-pompliano-geopolitics-2/","exact","https://bitcoininfonews.com/bitcoin-outperforming-gold-pompliano-geopolitics/","301","","active",""
"13","bitcoin-spot-etf-inflows-167-million-2/","exact","https://bitcoininfonews.com/bitcoin-spot-etf-inflows-167-million/","301","","active",""
"14","bitcoin-volatility-us-tariffs-2/","exact","https://bitcoininfonews.com/bitcoin-volatility-us-tariffs/","301","","active",""
"15","bitget-legal-action-voxel-manipulation-2/","exact","https://bitcoininfonews.com/bitget-legal-action-voxel-manipulation/","301","","active",""
"16","bitwise-chainlink-spot-etf-filing-2/","exact","https://bitcoininfonews.com/bitwise-chainlink-spot-etf-filing/","301","","active",""
"17","bitwise-near-etf-delaware-registration-3/","exact","https://bitcoininfonews.com/bitwise-near-etf-delaware-registration/","301","","active",""
"17","bitwise-near-etf-delaware-registration-2/","exact","https://bitcoininfonews.com/bitwise-near-etf-delaware-registration/","301","","active",""
"18","blockdag-2025-mining-referrals-and-rewards-driving-roi-2/","exact","https://bitcoininfonews.com/blockdag-2025-mining-referrals-and-rewards-driving-roi/","301","","active",""
"19","blockdag-bwt-alpine-f1-deal-drives-420m-presale-momentum-2/","exact","https://bitcoininfonews.com/blockdag-bwt-alpine-f1-deal-drives-420m-presale-momentum/","301","","active",""
"20","blockdag-explained-hybrid-blockchain-with-dag-speed-smart-contract-support-2/","exact","https://bitcoininfonews.com/blockdag-explained-hybrid-blockchain-with-dag-speed-smart-contract-support/","301","","active",""
"21","blockdag-nears-410m-presale-as-eth-and-xrp-lose-strength-2/","exact","https://bitcoininfonews.com/blockdag-nears-410m-presale-as-eth-and-xrp-lose-strength/","301","","active",""
"22","blockdags-3m-miners-outshine-ethereum-and-arbitrum-resistance-2/","exact","https://bitcoininfonews.com/blockdags-3m-miners-outshine-ethereum-and-arbitrum-resistance/","301","","active",""
"23","blockdags-presale-hits-336m-and-little-pepes-stage-3-presale-gains-2/","exact","https://bitcoininfonews.com/blockdags-presale-hits-336m-and-little-pepes-stage-3-presale-gains/","301","","active",""
"24","blockdags-x-series-and-sports-partnerships-outperform-xrp-and-okb-as-the-best-crypto-platform-with-383m-raised-2/","exact","https://bitcoininfonews.com/blockdags-x-series-and-sports-partnerships-outperform-xrp-and-okb-as-the-best-crypto-platform-with-383m-raised/","301","","active",""
"25","brown-university-bitcoin-etf-investment-3/","exact","https://bitcoininfonews.com/brown-university-bitcoin-etf-investment/","301","","active",""
"25","brown-university-bitcoin-etf-investment-2/","exact","https://bitcoininfonews.com/brown-university-bitcoin-etf-investment/","301","","active",""
"26","buyers-rush-to-secure-blockdag-at-0-0000061-while-hyperliquid-battles-35-floor-and-monero-eyes-upside-2/","exact","https://bitcoininfonews.com/buyers-rush-to-secure-blockdag-at-0-0000061-while-hyperliquid-battles-35-floor-and-monero-eyes-upside/","301","","active",""
"27","canada-unregistered-crypto-exchanges-2/","exact","https://bitcoininfonews.com/canada-unregistered-crypto-exchanges/","301","","active",""
"28","canary-capital-xrp-etf-launch-2/","exact","https://bitcoininfonews.com/canary-capital-xrp-etf-launch/","301","","active",""
"29","cardano-chainlink-blockdag-best-long-term-crypto-picks-2025-2/","exact","https://bitcoininfonews.com/cardano-chainlink-blockdag-best-long-term-crypto-picks-2025/","301","","active",""
"30","celsius-founder-sentenced-fraud-2/","exact","https://bitcoininfonews.com/celsius-founder-sentenced-fraud/","301","","active",""
"31","cftc-leveraged-crypto-trading-2025-2/","exact","https://bitcoininfonews.com/cftc-leveraged-crypto-trading-2025/","301","","active",""
