cluster_title,cluster_size,cluster_type,url,path,unique_inlinks,word_count,keeper_url,keeper_path,recommended_action,confidence,note
Arizona Governor Vetoes Bitcoin Reserve Bill,6,exact_title_duplicate_with_suffix,https://theccpress.com/arizona-bitcoin-reserve-bill-veto/,/arizona-bitcoin-reserve-bill-veto/,3,905,https://theccpress.com/arizona-bitcoin-reserve-bill-veto/,/arizona-bitcoin-reserve-bill-veto/,keep,high,preferred keeper for this duplicate cluster
Arizona Governor Vetoes Bitcoin Reserve Bill,6,exact_title_duplicate_with_suffix,https://theccpress.com/arizona-governor-bitcoin-reserve-veto/,/arizona-governor-bitcoin-reserve-veto/,3,968,https://theccpress.com/arizona-bitcoin-reserve-bill-veto/,/arizona-bitcoin-reserve-bill-veto/,review_301,medium,major duplicate cluster from audit; keeper chosen manually
Arizona Governor Vetoes Bitcoin Reserve Bill,6,exact_title_duplicate_with_suffix,https://theccpress.com/arizona-governor-vetoes-bitcoin-bill-2/,/arizona-governor-vetoes-bitcoin-bill-2/,3,899,https://theccpress.com/arizona-bitcoin-reserve-bill-veto/,/arizona-bitcoin-reserve-bill-veto/,review_301,medium,major duplicate cluster from audit; keeper chosen manually
Arizona Governor Vetoes Bitcoin Reserve Bill,6,exact_title_duplicate_with_suffix,https://theccpress.com/arizona-governor-vetoes-bitcoin-bill-3/,/arizona-governor-vetoes-bitcoin-bill-3/,3,834,https://theccpress.com/arizona-bitcoin-reserve-bill-veto/,/arizona-bitcoin-reserve-bill-veto/,review_301,medium,major duplicate cluster from audit; keeper chosen manually
Arizona Governor Vetoes Bitcoin Reserve Bill,6,exact_title_duplicate_with_suffix,https://theccpress.com/arizona-governor-vetoes-bitcoin-bill/,/arizona-governor-vetoes-bitcoin-bill/,3,916,https://theccpress.com/arizona-bitcoin-reserve-bill-veto/,/arizona-bitcoin-reserve-bill-veto/,review_301,medium,major duplicate cluster from audit; keeper chosen manually
Arizona Governor Vetoes Bitcoin Reserve Bill,6,exact_title_duplicate_with_suffix,https://theccpress.com/arizona-governor-vetoes-bitcoin-reserve-bill-2/,/arizona-governor-vetoes-bitcoin-reserve-bill-2/,3,901,https://theccpress.com/arizona-bitcoin-reserve-bill-veto/,/arizona-bitcoin-reserve-bill-veto/,review_301,medium,major duplicate cluster from audit; keeper chosen manually
REX Shares Files for Ethereum and Solana Staking ETFs,3,exact_title_duplicate,https://theccpress.com/rex-ethereum-solana-staking-etfs-announcement/,/rex-ethereum-solana-staking-etfs-announcement/,3,952,https://theccpress.com/rex-ethereum-solana-staking-etfs/,/rex-ethereum-solana-staking-etfs/,review_301,medium,major duplicate cluster from audit; keeper chosen manually
REX Shares Files for Ethereum and Solana Staking ETFs,3,exact_title_duplicate,https://theccpress.com/rex-ethereum-solana-staking-etfs/,/rex-ethereum-solana-staking-etfs/,3,896,https://theccpress.com/rex-ethereum-solana-staking-etfs/,/rex-ethereum-solana-staking-etfs/,keep,high,preferred keeper for this duplicate cluster
REX Shares Files for Ethereum and Solana Staking ETFs,3,exact_title_duplicate,https://theccpress.com/rex-shares-ethereum-solana-staking-etfs/,/rex-shares-ethereum-solana-staking-etfs/,3,928,https://theccpress.com/rex-ethereum-solana-staking-etfs/,/rex-ethereum-solana-staking-etfs/,review_301,medium,major duplicate cluster from audit; keeper chosen manually
"REX Shares Files for Ethereum, Solana Staking ETFs",3,exact_title_duplicate_with_suffix,https://theccpress.com/ethereum-solana-staking-etf-filing/,/ethereum-solana-staking-etf-filing/,3,921,https://theccpress.com/rex-shares-ethereum-solana-etfs/,/rex-shares-ethereum-solana-etfs/,review_301,medium,major duplicate cluster from audit; keeper chosen manually
"REX Shares Files for Ethereum, Solana Staking ETFs",3,exact_title_duplicate_with_suffix,https://theccpress.com/rex-shares-ethereum-solana-etfs/,/rex-shares-ethereum-solana-etfs/,3,902,https://theccpress.com/rex-shares-ethereum-solana-etfs/,/rex-shares-ethereum-solana-etfs/,keep,high,preferred keeper for this duplicate cluster
"REX Shares Files for Ethereum, Solana Staking ETFs",3,exact_title_duplicate_with_suffix,https://theccpress.com/rex-shares-ethereum-solana-staking-etfs-2/,/rex-shares-ethereum-solana-staking-etfs-2/,3,971,https://theccpress.com/rex-shares-ethereum-solana-etfs/,/rex-shares-ethereum-solana-etfs/,review_301,medium,major duplicate cluster from audit; keeper chosen manually
"SEC Approves In-Kind Redemptions for Bitcoin, Ethereum ETFs",3,exact_title_duplicate,https://theccpress.com/sec-approves-bitcoin-ethereum-etf-redemptions/,/sec-approves-bitcoin-ethereum-etf-redemptions/,2,919,https://theccpress.com/sec-approves-in-kind-redemptions-etfs/,/sec-approves-in-kind-redemptions-etfs/,review_301,medium,major duplicate cluster from audit; keeper chosen manually
"SEC Approves In-Kind Redemptions for Bitcoin, Ethereum ETFs",3,exact_title_duplicate,https://theccpress.com/sec-approves-in-kind-redemptions-bitcoin-ethereum-etfs/,/sec-approves-in-kind-redemptions-bitcoin-ethereum-etfs/,3,1294,https://theccpress.com/sec-approves-in-kind-redemptions-etfs/,/sec-approves-in-kind-redemptions-etfs/,review_301,medium,major duplicate cluster from audit; keeper chosen manually
"SEC Approves In-Kind Redemptions for Bitcoin, Ethereum ETFs",3,exact_title_duplicate,https://theccpress.com/sec-approves-in-kind-redemptions-etfs/,/sec-approves-in-kind-redemptions-etfs/,3,915,https://theccpress.com/sec-approves-in-kind-redemptions-etfs/,/sec-approves-in-kind-redemptions-etfs/,keep,high,preferred keeper for this duplicate cluster
Ant Group Partners with Circle to Integrate USDC,2,exact_title_duplicate_with_suffix,https://theccpress.com/ant-group-circle-usdc-integration-2/,/ant-group-circle-usdc-integration-2/,3,1270,https://theccpress.com/ant-group-circle-usdc-integration/,/ant-group-circle-usdc-integration/,301_now,high,exact duplicate title with one clean base URL and suffix duplicate
Ant Group Partners with Circle to Integrate USDC,2,exact_title_duplicate_with_suffix,https://theccpress.com/ant-group-circle-usdc-integration/,/ant-group-circle-usdc-integration/,3,899,https://theccpress.com/ant-group-circle-usdc-integration/,/ant-group-circle-usdc-integration/,keep,high,preferred keeper for this duplicate cluster
Argentina Leads Latin America in Crypto Adoption,2,exact_title_duplicate,https://theccpress.com/argentina-crypto-adoption-leader/,/argentina-crypto-adoption-leader/,3,915,https://theccpress.com/argentina-crypto-adoption-leader/,/argentina-crypto-adoption-leader/,keep,high,preferred keeper for this duplicate cluster
Argentina Leads Latin America in Crypto Adoption,2,exact_title_duplicate,https://theccpress.com/argentina-leads-latin-america-crypto/,/argentina-leads-latin-america-crypto/,3,928,https://theccpress.com/argentina-crypto-adoption-leader/,/argentina-crypto-adoption-leader/,review_301,medium,exact duplicate title but keeper still needs human confirmation
Avalanche DeFi TVL Surpasses $2 Billion Mark,2,exact_title_duplicate,https://theccpress.com/avalanche-defi-tvl-surpasses-2billion/,/avalanche-defi-tvl-surpasses-2billion/,3,913,https://theccpress.com/avalanche-defi-tvl-surpasses-2billion/,/avalanche-defi-tvl-surpasses-2billion/,keep,high,preferred keeper for this duplicate cluster
Avalanche DeFi TVL Surpasses $2 Billion Mark,2,exact_title_duplicate,https://theccpress.com/avalanche-defi-tvl-surpasses-two-billion/,/avalanche-defi-tvl-surpasses-two-billion/,3,877,https://theccpress.com/avalanche-defi-tvl-surpasses-2billion/,/avalanche-defi-tvl-surpasses-2billion/,review_301,medium,exact duplicate title but keeper still needs human confirmation
Binance Mandates KYC Re-Verification for Indian Users,2,exact_title_duplicate,https://theccpress.com/binance-kyc-re-verification-india/,/binance-kyc-re-verification-india/,3,872,https://theccpress.com/binance-kyc-re-verification-india/,/binance-kyc-re-verification-india/,keep,high,preferred keeper for this duplicate cluster
Binance Mandates KYC Re-Verification for Indian Users,2,exact_title_duplicate,https://theccpress.com/binance-kyc-reverification-india-users/,/binance-kyc-reverification-india-users/,3,869,https://theccpress.com/binance-kyc-re-verification-india/,/binance-kyc-re-verification-india/,review_301,medium,exact duplicate title but keeper still needs human confirmation
Bitcoin Reaches New All-Time High in Argentina,2,exact_title_duplicate,https://theccpress.com/bitcoin-all-time-high-argentina/,/bitcoin-all-time-high-argentina/,3,842,https://theccpress.com/bitcoin-all-time-high-argentina/,/bitcoin-all-time-high-argentina/,keep,high,preferred keeper for this duplicate cluster
Bitcoin Reaches New All-Time High in Argentina,2,exact_title_duplicate,https://theccpress.com/bitcoin-record-high-argentina-inflation/,/bitcoin-record-high-argentina-inflation/,3,937,https://theccpress.com/bitcoin-all-time-high-argentina/,/bitcoin-all-time-high-argentina/,review_301,medium,exact duplicate title but keeper still needs human confirmation
Bitcoin Surpasses Amazon in Market Capitalization,2,exact_title_duplicate_with_suffix,https://theccpress.com/bitcoin-surpasses-amazon-market-cap-3/,/bitcoin-surpasses-amazon-market-cap-3/,3,899,https://theccpress.com/bitcoin-surpasses-amazon-market-cap-4/,/bitcoin-surpasses-amazon-market-cap-4/,review_301,medium,exact duplicate title but keeper still needs human confirmation
Bitcoin Surpasses Amazon in Market Capitalization,2,exact_title_duplicate_with_suffix,https://theccpress.com/bitcoin-surpasses-amazon-market-cap-4/,/bitcoin-surpasses-amazon-market-cap-4/,3,914,https://theccpress.com/bitcoin-surpasses-amazon-market-cap-4/,/bitcoin-surpasses-amazon-market-cap-4/,keep,high,preferred keeper for this duplicate cluster
Bitwise CEO Anticipates Full Wall Street Crypto Adoption,2,exact_title_duplicate_with_suffix,https://theccpress.com/bitwise-ceo-wall-street-crypto-adoption-2/,/bitwise-ceo-wall-street-crypto-adoption-2/,3,889,https://theccpress.com/bitwise-ceo-wall-street-crypto-adoption/,/bitwise-ceo-wall-street-crypto-adoption/,301_now,high,exact duplicate title with one clean base URL and suffix duplicate
