confidence,date,id,matched_entity,matched_promo_signal,url,title,slug
high,2026-04-09,42918,blockdag,95x,https://theccpress.com/blockdag-joins-global-exchanges-secure-95x-roi-at-just-0-0000061-more-on-ethereum-prediction-and-bnb-coin-trends-2/,BlockDAG Joins Global Exchanges: Secure 95x ROI at Just $0.0000061! More on Ethereum Prediction & BNB Coin Trends,blockdag-joins-global-exchanges-secure-95x-roi-at-just-0-0000061-more-on-ethereum-prediction-and-bnb-coin-trends-2
high,2026-04-09,42911,blockdag,95x,https://theccpress.com/blockdag-joins-global-exchanges-secure-95x-roi-at-just-0-0000061-more-on-ethereum-prediction-and-bnb-coin-trends/,BlockDAG Joins Global Exchanges: Secure 95x ROI at Just $0.0000061! More on Ethereum Prediction & BNB Coin Trends,blockdag-joins-global-exchanges-secure-95x-roi-at-just-0-0000061-more-on-ethereum-prediction-and-bnb-coin-trends
high,2026-03-05,42015,blockdag,top crypto,https://theccpress.com/blockdag-eyes-1-2-billion-marketcap-why-this-could-be-the-top-crypto-to-buy-now-before-the-top-50-trigger/,BlockDAG Eyes $1.2 Billion Marketcap — Why This Could Be the Top Crypto to Buy Now Before the Top 50 Trigger,blockdag-eyes-1-2-billion-marketcap-why-this-could-be-the-top-crypto-to-buy-now-before-the-top-50-trigger
high,2026-03-05,42004,blockdag,100x,https://theccpress.com/the-next-crypto-to-explode-blockdag-leads-100x-roi-bitcoin-cash-hyperliquid-and-pump-fun-close-behind-2/,"The Next Crypto to Explode: BlockDAG Leads 100x ROI, Bitcoin Cash, Hyperliquid, and Pump.fun Close Behind!",the-next-crypto-to-explode-blockdag-leads-100x-roi-bitcoin-cash-hyperliquid-and-pump-fun-close-behind-2
high,2026-02-03,41097,remittix,8000x,https://theccpress.com/remittixs-payments-narrative-is-impressive-but-experts-say-zkp-crypto-could-explode-by-8000x/,"Remittix’s Payments Narrative Is Impressive, but Experts Say ZKP Crypto Could Explode By 8000x!",remittixs-payments-narrative-is-impressive-but-experts-say-zkp-crypto-could-explode-by-8000x
high,2026-02-02,41084,blockdag,best crypto,https://theccpress.com/will-blockdag-hit-1-in-2026-why-analysts-say-this-best-crypto-presale-could-deliver-2000x-returns/,"Will BlockDAG Hit $1 in 2026? Why Analysts Say This Best Crypto Presale Could Deliver 2,000x Returns",will-blockdag-hit-1-in-2026-why-analysts-say-this-best-crypto-presale-could-deliver-2000x-returns
high,2026-02-02,41020,blockdag,1000x,https://theccpress.com/dont-say-we-didnt-warn-you-blockdags-0-0005-entry-point-is-about-to-vanish-forever-is-a-1000x-move-next/,Don’t Say We Didn’t Warn You: BlockDAG’s $0.0005 Entry Point is About to Vanish Forever; Is a 1000x Move Next?,dont-say-we-didnt-warn-you-blockdags-0-0005-entry-point-is-about-to-vanish-forever-is-a-1000x-move-next
high,2026-02-02,41004,zkp,presale,https://theccpress.com/eth-xrp-battle-volatility-but-zkp-cryptos-190m-token-daily-presale-auction-5m-giveaway-offer-something-bigger/,"ETH & XRP Battle Volatility, But ZKP Crypto’s 190M-Token Daily Presale Auction & $5M Giveaway Offer Something Bigger!",eth-xrp-battle-volatility-but-zkp-cryptos-190m-token-daily-presale-auction-5m-giveaway-offer-something-bigger
high,2026-02-01,41013,blockdag,best crypto,https://theccpress.com/452m-raised-counting-heres-why-market-makers-call-blockdag-the-best-crypto-to-buy-now/,$452M Raised & Counting: Here’s Why Market Makers Call BlockDAG the Best Crypto to Buy Now,452m-raised-counting-heres-why-market-makers-call-blockdag-the-best-crypto-to-buy-now
high,2026-01-31,40933,blockdag,top presale crypto,https://theccpress.com/top-presale-crypto-to-buy-now-list-blockdag-blockchainfx-digitap-remittix-in-focus/,"Top Presale Crypto to Buy Now List: BlockDAG, BlockchainFX, Digitap, Remittix in Focus",top-presale-crypto-to-buy-now-list-blockdag-blockchainfx-digitap-remittix-in-focus
