row_num,id,confidence,matched_entity,url,title,rest_status_before,delete_http,delete_result_status,rest_status_after,error
1,42918,high,blockdag,https://theccpress.com/blockdag-joins-global-exchanges-secure-95x-roi-at-just-0-0000061-more-on-ethereum-prediction-and-bnb-coin-trends-2/,BlockDAG Joins Global Exchanges: Secure 95x ROI at Just $0.0000061! More on Ethereum Prediction & BNB Coin Trends,trash,skip,already_trash,trash,
2,42911,high,blockdag,https://theccpress.com/blockdag-joins-global-exchanges-secure-95x-roi-at-just-0-0000061-more-on-ethereum-prediction-and-bnb-coin-trends/,BlockDAG Joins Global Exchanges: Secure 95x ROI at Just $0.0000061! More on Ethereum Prediction & BNB Coin Trends,trash,skip,already_trash,trash,
3,42015,high,blockdag,https://theccpress.com/blockdag-eyes-1-2-billion-marketcap-why-this-could-be-the-top-crypto-to-buy-now-before-the-top-50-trigger/,BlockDAG Eyes $1.2 Billion Marketcap — Why This Could Be the Top Crypto to Buy Now Before the Top 50 Trigger,trash,skip,already_trash,trash,
4,42004,high,blockdag,https://theccpress.com/the-next-crypto-to-explode-blockdag-leads-100x-roi-bitcoin-cash-hyperliquid-and-pump-fun-close-behind-2/,"The Next Crypto to Explode: BlockDAG Leads 100x ROI, Bitcoin Cash, Hyperliquid, and Pump.fun Close Behind!",trash,skip,already_trash,trash,
5,41097,high,remittix,https://theccpress.com/remittixs-payments-narrative-is-impressive-but-experts-say-zkp-crypto-could-explode-by-8000x/,"Remittix’s Payments Narrative Is Impressive, but Experts Say ZKP Crypto Could Explode By 8000x!",trash,skip,already_trash,trash,
6,41084,high,blockdag,https://theccpress.com/will-blockdag-hit-1-in-2026-why-analysts-say-this-best-crypto-presale-could-deliver-2000x-returns/,"Will BlockDAG Hit $1 in 2026? Why Analysts Say This Best Crypto Presale Could Deliver 2,000x Returns",trash,skip,already_trash,trash,
7,41020,high,blockdag,https://theccpress.com/dont-say-we-didnt-warn-you-blockdags-0-0005-entry-point-is-about-to-vanish-forever-is-a-1000x-move-next/,Don’t Say We Didn’t Warn You: BlockDAG’s $0.0005 Entry Point is About to Vanish Forever; Is a 1000x Move Next?,trash,skip,already_trash,trash,
8,41004,high,zkp,https://theccpress.com/eth-xrp-battle-volatility-but-zkp-cryptos-190m-token-daily-presale-auction-5m-giveaway-offer-something-bigger/,"ETH & XRP Battle Volatility, But ZKP Crypto’s 190M-Token Daily Presale Auction & $5M Giveaway Offer Something Bigger!",trash,skip,already_trash,trash,
9,41013,high,blockdag,https://theccpress.com/452m-raised-counting-heres-why-market-makers-call-blockdag-the-best-crypto-to-buy-now/,$452M Raised & Counting: Here’s Why Market Makers Call BlockDAG the Best Crypto to Buy Now,trash,skip,already_trash,trash,
10,40933,high,blockdag,https://theccpress.com/top-presale-crypto-to-buy-now-list-blockdag-blockchainfx-digitap-remittix-in-focus/,"Top Presale Crypto to Buy Now List: BlockDAG, BlockchainFX, Digitap, Remittix in Focus",trash,skip,already_trash,trash,
11,40859,high,zkp,https://theccpress.com/crypto-investors-rally-around-zkps-8000x-potential-as-zcash-and-hyperliquid-stall/,Crypto Investors Rally Around ZKP’s 8000x Potential as ZCash and Hyperliquid Stall,publish,200,trash,trash,
12,40845,high,zkp,https://theccpress.com/zkp-crypto-shib-and-ondo-are-dominating-2026-heres-why-these-top-cryptos-are-breaking-records/,"ZKP Crypto, SHIB, and Ondo Are Dominating 2026: Here’s Why These Top Cryptos Are Breaking Records",publish,200,trash,trash,
13,40838,high,zkp,https://theccpress.com/record-money-is-flowing-into-these-3-top-crypto-presales-in-february-zkp-remittix-digitap/,"Record Money is Flowing Into These 3 Top Crypto Presales in February – ZKP, Remittix, Digitap",publish,200,trash,trash,
14,40822,high,blockdag,https://theccpress.com/top-trending-crypto-in-2026-as-uni-pepe-and-blockdag-follow-different-paths/,"Top Trending Crypto in 2026 as UNI, PEPE, and BlockDAG Follow Different Paths",publish,200,trash,trash,
15,40731,high,blockdag,https://theccpress.com/top-trending-crypto-in-2026-as-uni-pepe-wlfi-and-blockdag-follow-different-paths/,"Top Trending Crypto in 2026 as UNI, PEPE, WLFI, and BlockDAG Follow Different Paths",publish,200,trash,trash,
16,40711,high,zkp,https://theccpress.com/want-to-make-money-with-crypto-join-the-best-crypto-to-invest-in-zkp-and-use-its-4-income-streams/,"Want to Make Money with Crypto? Join the Best Crypto to Invest In, ZKP, and Use Its 4 Income Streams",publish,200,trash,trash,
17,40707,high,zkp,https://theccpress.com/ethereum-face-sell-offs-as-experts-point-to-zkp-for-mega-6000x-gains/,Ethereum & Rende Face Sell-Offs as Experts Point to ZKP for Mega 6000x Gains,publish,200,trash,trash,
