batch,row_num,url,slug,action,post_id,api_http_status,new_status,frontend_code,frontend_final_url,frontend_error
1,1,https://theccpress.com/aurex-expands-its-ai-powered-prediction-market-intelligence-ecosystem-as-presale-momentum-continues/,aurex-expands-its-ai-powered-prediction-market-intelligence-ecosystem-as-presale-momentum-continues,already_not_publish,,200,not_publish_visible,404,https://theccpress.com/aurex-expands-its-ai-powered-prediction-market-intelligence-ecosystem-as-presale-momentum-continues/,
1,2,https://theccpress.com/next-altcoin-to-explode-blockdag-heats-up-with-nba-teaser-as-inj-tia-and-sui-gain-steam/,next-altcoin-to-explode-blockdag-heats-up-with-nba-teaser-as-inj-tia-and-sui-gain-steam,already_not_publish,,200,not_publish_visible,404,https://theccpress.com/next-altcoin-to-explode-blockdag-heats-up-with-nba-teaser-as-inj-tia-and-sui-gain-steam/,
1,3,https://theccpress.com/top-crypto-gainers-in-2025-blockdag-hbar-litecoin-and-filecoin-make-bold-moves/,top-crypto-gainers-in-2025-blockdag-hbar-litecoin-and-filecoin-make-bold-moves,already_not_publish,,200,not_publish_visible,404,https://theccpress.com/top-crypto-gainers-in-2025-blockdag-hbar-litecoin-and-filecoin-make-bold-moves/,
1,4,https://theccpress.com/4-top-crypto-coins-to-buy-now-bdag-ada-sol-hbar/,4-top-crypto-coins-to-buy-now-bdag-ada-sol-hbar,already_not_publish,,200,not_publish_visible,404,https://theccpress.com/4-top-crypto-coins-to-buy-now-bdag-ada-sol-hbar/,
1,5,https://theccpress.com/highest-potential-cryptos-in-2025-blockdag-ada-doge-trx/,highest-potential-cryptos-in-2025-blockdag-ada-doge-trx,already_not_publish,,200,not_publish_visible,404,https://theccpress.com/highest-potential-cryptos-in-2025-blockdag-ada-doge-trx/,
1,6,https://theccpress.com/highest-potential-cryptos-in-2025-blockdag-solana-more/,highest-potential-cryptos-in-2025-blockdag-solana-more,already_not_publish,,200,not_publish_visible,404,https://theccpress.com/highest-potential-cryptos-in-2025-blockdag-solana-more/,
1,7,https://theccpress.com/top-cryptos-to-buy-right-now-arbitrum-render-tron-blockdag/,top-cryptos-to-buy-right-now-arbitrum-render-tron-blockdag,already_not_publish,,200,not_publish_visible,404,https://theccpress.com/top-cryptos-to-buy-right-now-arbitrum-render-tron-blockdag/,
1,8,https://theccpress.com/axs-and-tia-price-charts-wobble-as-web3-ai-presale-surges/,axs-and-tia-price-charts-wobble-as-web3-ai-presale-surges,already_not_publish,,200,not_publish_visible,200,https://theccpress.com/,
1,9,https://theccpress.com/shib-rsi-hits-68-hbar-gains-12-but-blockdags-hackathon-makes-it-the-best-long-term-crypto/,shib-rsi-hits-68-hbar-gains-12-but-blockdags-hackathon-makes-it-the-best-long-term-crypto,already_not_publish,,200,not_publish_visible,404,https://theccpress.com/shib-rsi-hits-68-hbar-gains-12-but-blockdags-hackathon-makes-it-the-best-long-term-crypto/,
1,10,https://theccpress.com/xrp-holds-above-2-tether-expands-reach-blockdags-nears-certik-audit-completion/,xrp-holds-above-2-tether-expands-reach-blockdags-nears-certik-audit-completion,already_not_publish,,200,not_publish_visible,404,https://theccpress.com/xrp-holds-above-2-tether-expands-reach-blockdags-nears-certik-audit-completion/,
2,11,https://theccpress.com/blockdag-hits-20-1b-coins-sold-as-solana-faces-centralization-in-2025/,blockdag-hits-20-1b-coins-sold-as-solana-faces-centralization-in-2025,trash_attempt,16587,200,trash,404,https://theccpress.com/blockdag-hits-20-1b-coins-sold-as-solana-faces-centralization-in-2025/,
