priority,url,title,unique_inlinks,word_count,matched_entity,matched_promo_signal,recommended_action,fallback_if_not_deleted,reason
P1,https://theccpress.com/aurex-expands-its-ai-powered-prediction-market-intelligence-ecosystem-as-presale-momentum-continues/,AUREX Expands Its AI-Powered Prediction Market Intelligence Ecosystem as Presale Momentum Continues,68,1444,aurex,presale,delete_now,noindex,live indexable promo/shill-style article likely diluting editorial and index quality
P1,https://theccpress.com/next-altcoin-to-explode-blockdag-heats-up-with-nba-teaser-as-inj-tia-and-sui-gain-steam/,"Next Altcoin to Explode? BlockDAG, INJ, TIA, & SUI Build Strong Foundations",8,1368,blockdag,Next Altcoin to Explode,delete_now,noindex,live indexable promo/shill-style article likely diluting editorial and index quality
P1,https://theccpress.com/top-crypto-gainers-in-2025-blockdag-hbar-litecoin-and-filecoin-make-bold-moves/,"Top Crypto Gainers in 2025: Why BlockDAG, HBAR, Litecoin, and Filecoin Are Catching Fire This Cycle",8,1514,blockdag,Top Crypto,delete_now,noindex,live indexable promo/shill-style article likely diluting editorial and index quality
P1,https://theccpress.com/4-top-crypto-coins-to-buy-now-bdag-ada-sol-hbar/,"Top Crypto Coins to Buy Now: BlockDAG, Cardano, Solana, Hedera Showing Strong Signs of Momentum",7,1827,bdag,Top Crypto,delete_now,noindex,live indexable promo/shill-style article likely diluting editorial and index quality
P1,https://theccpress.com/highest-potential-cryptos-in-2025-blockdag-ada-doge-trx/,From Hidden Gems to Breakout Stars: 4 Highest Potential Cryptos in 2025 Revealed!,7,1390,blockdag,Highest Potential Cryptos,delete_now,noindex,live indexable promo/shill-style article likely diluting editorial and index quality
P1,https://theccpress.com/highest-potential-cryptos-in-2025-blockdag-solana-more/,Here’s Why Smart Traders Are Betting Big on These 4 Highest Potential Cryptos in 2025!,7,1568,blockdag,Highest Potential Cryptos,delete_now,noindex,live indexable promo/shill-style article likely diluting editorial and index quality
P1,https://theccpress.com/top-cryptos-to-buy-right-now-arbitrum-render-tron-blockdag/,"4 Top Cryptos to Buy Right Now in June 2025: Arbitrum, Render, Tron, & BlockDAG!",7,1376,blockdag,Top Cryptos,delete_now,noindex,live indexable promo/shill-style article likely diluting editorial and index quality
P1,https://theccpress.com/axs-and-tia-price-charts-wobble-as-web3-ai-presale-surges/,AXS and TIA Price Charts Wobble as Web3 ai Presale Surges,6,1830,Web3 ai,presale,delete_now,noindex,live indexable promo/shill-style article likely diluting editorial and index quality
P1,https://theccpress.com/shib-rsi-hits-68-hbar-gains-12-but-blockdags-hackathon-makes-it-the-best-long-term-crypto/,"SHIB's RSI Climbs, HBAR Jumps 12%, But BlockDAG’s Hackathon Shows Why It’s the Best Long Term Crypto",6,1762,BlockDAG,Best Long Term Crypto,delete_now,noindex,live indexable promo/shill-style article likely diluting editorial and index quality
P1,https://theccpress.com/xrp-holds-above-2-tether-expands-reach-blockdags-nears-certik-audit-completion/,"XRP Breaks $2, Tether Expands into Law Enforcement, & BlockDAG’s Presale Hits $225M as CertiK Audit Nears Completion!",6,1761,BlockDAG,Presale,delete_now,noindex,live indexable promo/shill-style article likely diluting editorial and index quality
